"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4tSUnyKTENX84nv6ExWHtN","Song for the Painter","spotify:artist:3634pboiWrEMkmIrpuqf1I","Lost In The Trees","spotify:album:5VS4WpyFVhNZuLR23XOcdC","All Alone In An Empty House","spotify:artist:3634pboiWrEMkmIrpuqf1I","Lost In The Trees","2010-08-10","https://i.scdn.co/image/ab67616d0000b2739cecc89e562a2504aa9fce4f","1","4","200426","https://p.scdn.co/mp3-preview/15c8b6daabaa005c91cbc5fd5856aa1abdaf4cfd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USA2B0863604","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-09-05T05:38:14Z","chamber pop,indie folk","0.709","0.336","0","-11.45","1","0.0293","0.243","0.00956","0.184","0.336","108.202","4","","Anti/Epitaph","C 2010 Anti Inc., P 2010 Anti Inc."
"spotify:track:0UcrS8CBnF6QFKle7NiQrU","Antonia Jane","spotify:artist:3Uf1PaVWJ3cUp76AIzCcoO","Lightning Dust","spotify:album:5wJTtiVVYnoyfw6qiEhgO8","Infinite Light","spotify:artist:3Uf1PaVWJ3cUp76AIzCcoO","Lightning Dust","2009-08-04","https://i.scdn.co/image/ab67616d0000b2733d8eb229278dce12292dfe26","1","1","185666","https://p.scdn.co/mp3-preview/3f3833ab7c923ae60ee109de1060dbbcd5a6625f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","US38Y0913901","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-09-05T05:41:59Z","","0.623","0.486","3","-11.293","1","0.0352","0.243","0.634","0.128","0.14","123.866","4","","Jagjaguwar","C 2009 Jagjaguwar, P 2009 Jagjaguwar"
"spotify:track:5aQe0faFOjeskrHwpleXLJ","Yellow Paper Daisy","spotify:artist:04hYGGSjYtLekuuJXEGrIl","When Chai Met Toast","spotify:album:13ATYLc7i4HuNbQrAEawOH","Yellow Paper Daisy","spotify:artist:04hYGGSjYtLekuuJXEGrIl","When Chai Met Toast","2021-09-17","https://i.scdn.co/image/ab67616d0000b273fc3b86df0eb110c1f0eec971","1","1","199772","https://p.scdn.co/mp3-preview/1c2f17ba0bc2e9b47d6c76bc3a0b23985467684a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FRX452174938","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-10-09T10:30:19Z","indian indie,hindi indie,folk pop","0.428","0.442","7","-10.485","1","0.0303","0.775","0.000132","0.0818","0.687","105.829","4","","Independent","C 2021 When Chai Met Toast, P 2021 When Chai Met Toast"
"spotify:track:0r5upP2oXQInJQG65d4pVz","Everything To Me","spotify:artist:3Q2ya2vGeOhQ9CaF9wWNP6","Shane Filan","spotify:album:5DeQcQ700cGVp6zwTfqg29","You And Me (Deluxe Edition)","spotify:artist:3Q2ya2vGeOhQ9CaF9wWNP6","Shane Filan","2013-01-01","https://i.scdn.co/image/ab67616d0000b2736c62e215681ee2c352fbe133","1","1","203021","","false","31","GBUM71304546","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-10-09T10:34:23Z","","0.727","0.635","0","-6.577","1","0.0604","0.168","0","0.113","0.629","106.93","4","","Capitol","C © 2013 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2013 Capitol Records, a division of Universal Music Operations Limited"
"spotify:track:2oTYS0tLCLK5qzVyq5lUoJ","Halley Came to Jackson","spotify:artist:0qAmeOULjwn04k6jMMeDyr","Mary Chapin Carpenter","spotify:album:5XZgZAIHcrnQwcAWq4Tbn9","The Essential Mary Chapin Carpenter","spotify:artist:0qAmeOULjwn04k6jMMeDyr","Mary Chapin Carpenter","1989","https://i.scdn.co/image/ab67616d0000b2737e98d72f2e93e034f078f27a","1","7","190893","https://p.scdn.co/mp3-preview/8112bfa9ecef17678069769725949f5dece7af4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USSM19911050","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-10-25T09:41:57Z","","0.477","0.442","4","-10.006","1","0.0334","0.793","0","0.277","0.597","79.633","1","","Columbia/Legacy","P (P) 1989, 1990, 1992, 1994, 1996, 1999, 2001, 2003 Sony Music Entertainment Inc."
"spotify:track:44alNkXsYnTyPnkMdohBcx","Bloom (Online Bonus Track)","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:4TBDgyNsiHYu9xTbasFCE9","Woodland","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2011-07-01","https://i.scdn.co/image/ab67616d0000b2730c199cd60dfe661ff2773630","1","6","209816","https://p.scdn.co/mp3-preview/23526e970b2b558dd7d84aa3943a9d3246b33adf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","TCAAZ1171906","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-11-02T11:26:06Z","indie folk","0.581","0.421","1","-9.792","1","0.0245","0.894","0.000491","0.119","0.433","95.969","4","","The Paper Kites","C 2011 The Paper Kites, P 2011 The Paper Kites"
"spotify:track:6f2o3F3BoPwlicA0ko2gAb","On The Road Again","spotify:artist:7bsyET4aRFBJ9dOtGeHCX5","The Brother Brothers","spotify:album:44QrG8cDITqHHGZcGfeZWr","Calla Lily","spotify:artist:7bsyET4aRFBJ9dOtGeHCX5","The Brother Brothers","2021-04-16","https://i.scdn.co/image/ab67616d0000b27375eab147819ba2119a228e8f","1","1","173969","https://p.scdn.co/mp3-preview/799b1c27b7f030702986c2a91543049a34cb1056?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USCO92075701","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-12-08T16:59:17Z","","0.617","0.454","3","-11.24","1","0.0303","0.722","0.0172","0.0774","0.694","104.466","4","","Compass Records","C 2021 The Brother Brothers. Issued under license to Compass Records., P 2021 The Brother Brothers. Issued under license to Compass Records."
"spotify:track:3lyRCGz93Sxlrpvvhhxo8E","Good Times","spotify:artist:4CHiVarfTsFhkFOk5vHS77","Marc Scibilia","spotify:album:4ivyT3pP5juItg8Yblaqfn","Seed of Joy","spotify:artist:4CHiVarfTsFhkFOk5vHS77","Marc Scibilia","2020-11-13","https://i.scdn.co/image/ab67616d0000b273ba60d6a77b8f1baa5db3b18a","1","11","147386","https://p.scdn.co/mp3-preview/f166a2b5f6f248c5abcc66896c6f8be74857c64e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TCAFB2023038","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-12-08T21:41:53Z","","0.646","0.517","1","-10.32","1","0.0392","0.659","0.000944","0.109","0.293","111.674","4","","Good Lander Records / Tone Tree Music","C 2020 Good Lander Records / Tone Tree Music, P 2020 Good Lander Records / Tone Tree Music"
"spotify:track:0mHvg2txp2llyXiCJZgbCl","Like No One Does","spotify:artist:0DxPHf2flBAcV2SnZPg3SV","Jake Scott","spotify:album:13j0Kg7NR6uwvE1TEXlNQi","TWENTYTWENTY","spotify:artist:0DxPHf2flBAcV2SnZPg3SV","Jake Scott","2020-11-20","https://i.scdn.co/image/ab67616d0000b273df22cf7acc0ea44086e64ea3","1","7","158469","https://p.scdn.co/mp3-preview/380b23a769aa254ae5bd4276a96131c2609d705e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZFZ62060612","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-12-13T19:32:19Z","","0.801","0.41","10","-12.734","1","0.237","0.35","0.00000145","0.107","0.442","104.935","4","","Jake Scott","C 2020 Jake Scott, P 2020 Jake Scott"
"spotify:track:1YYhDizHx7PnDhAhko6cDS","Take Me Home, Country Roads - Original Version","spotify:artist:7EK1bQADBoqbYXnT4Cqv9w","John Denver","spotify:album:78FZXQkBGm2IOPrE9f64sU","Poems, Prayers and Promises","spotify:artist:7EK1bQADBoqbYXnT4Cqv9w","John Denver","1971","https://i.scdn.co/image/ab67616d0000b27334fb2b0117a542d515dc78d6","1","7","190160","https://p.scdn.co/mp3-preview/c2ab971d183b0c08d1b0ec1f4cbc27c778c6ce13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC11100481","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2023-01-26T16:03:46Z","folk","0.462","0.395","9","-9.376","1","0.0264","0.758","0","0.121","0.625","82.259","4","","RCA/Legacy","P (P) 1971 RCA Records, a division of Sony Music Entertainment"
"spotify:track:6FLwmdmW77N1Pxb1aWsZmO","Only Time","spotify:artist:6uothxMWeLWIhsGeF7cyo4","Enya","spotify:album:2ioso1tqQ5zABQDVYyiUi5","A Day Without Rain","spotify:artist:6uothxMWeLWIhsGeF7cyo4","Enya","2000-11-11","https://i.scdn.co/image/ab67616d0000b27370dd4e18b9c3431ee7a9b8a1","1","3","218546","https://p.scdn.co/mp3-preview/8158001dfd050b71c8795546d63398f577021b33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAHT0005349","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2023-01-26T16:34:49Z","new age,celtic","0.418","0.249","3","-13.744","1","0.0301","0.841","0.661","0.112","0.213","82.803","4","","WM UK","C © 2005 Warner Music UK Ltd, P ℗ 2000 Warner Music UK Ltd"
"spotify:track:3YfS47QufnLDFA71FUsgCM","The Sound of Silence","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","2","4","184786","https://p.scdn.co/mp3-preview/ea8acffe4466728559cfb5a444177a565384d624?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM16401137","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2023-06-11T17:46:55Z","folk rock,folk","0.535","0.225","6","-13.865","1","0.0301","0.869","0.00000157","0.0988","0.338","107.384","4","","Columbia/Legacy","P This compilation (P) 2012 Sony Music Entertainment. All rights reserved."
"spotify:track:5y788ya4NvwhBznoDIcXwK","The Sound of Silence - Acoustic Version","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:5pnJrocLlZ3FWEbcr2PTz0","Wednesday Morning, 3 A.M.","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1964-10-19","https://i.scdn.co/image/ab67616d0000b2733b50c381e5f477c3cd066286","1","6","185413","https://p.scdn.co/mp3-preview/ce31ae784cc3a4a3958a6ae24e5a9d6d664b8508?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USSM16401419","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2023-06-11T17:52:30Z","folk rock,folk","0.525","0.216","6","-13.551","1","0.0301","0.837","0","0.107","0.328","106.761","4","","Columbia","P (P) Originally released 1964. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
"spotify:track:0WUUFBKX2vlagsbYm3KUG2","Kyun Dhunde - 1 Min Music","spotify:artist:5gVozagAcRKYCeAVnlC3Nk","Vilen","spotify:album:62RPhN80MlD2EUAj2aHyfV","Kyun Dhunde (1 Min Music)","spotify:artist:5gVozagAcRKYCeAVnlC3Nk","Vilen","2023-04-14","https://i.scdn.co/image/ab67616d0000b273af0ccf07b38dab145ad4462f","1","1","70434","","false","56","FRX282254613","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2023-08-10T20:43:35Z","hindi indie,desi pop,hindi pop,indian indie","0.711","0.346","7","-10.162","1","0.0291","0.766","0","0.212","0.771","91.993","4","","Universal Music India Pvt Ltd.","C © 2023 Universal Music India Pvt. Ltd., Under Exclusive License from Vipul Dhankher (Vilen), P ℗ 2023 Universal Music India Pvt. Ltd., Under Exclusive License from Vipul Dhankher (Vilen)"
