"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:646x3mGqcFfrgMum5YCTbz","Nirvana Shatakam","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","spotify:album:5daR2AX9J9yhVecpj7kMB5","Nirvana Shatakam","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","2024-03-19","https://i.scdn.co/image/ab67616d0000b2737b6dd68396f5ce9d78ef3b47","1","1","244054","https://p.scdn.co/mp3-preview/6a7698a67797b3edbe287df800236a4ede0c50fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","INN682102318","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T12:37:08Z","bhajan,devotional","0.836","0.267","1","-13.64","1","0.0353","0.752","0.000143","0.0722","0.448","133.984","3","","Skyline Production And Entertainments","C 2024 Skyline Production And Entertainments, P 2024 Skyline Production And Entertainments"
"spotify:track:1SgywFHOTkVRAz6UmYzz5w","Ganesha Gayatri Mantra for Success and Prosperity","spotify:artist:5yMmIhZ6dUYvVjjqzFOOzN","Mahakatha","spotify:album:5uT4LDe2IIoOD1pzXSCDCz","Ancient Chants from India, Vol. 10","spotify:artist:5yMmIhZ6dUYvVjjqzFOOzN","Mahakatha","2023-04-27","https://i.scdn.co/image/ab67616d0000b273704f8fe7fc2a3dff266935f3","1","3","264768","https://p.scdn.co/mp3-preview/0db36fa204d6b2d8955367b5fba3dc7748ed27f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","CAHQJ2387820","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T12:44:39Z","devotional,bhajan","0.488","0.108","9","-20.654","1","0.0268","0.8","0.0794","0.0835","0.247","80.007","1","","Mahakatha","C 2023 Mahakatha, P 2023 Mahakatha"
"spotify:track:2O05KKeleQJ9imz1mXHPGc","Hanuman Chalisa","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","spotify:album:6MEwQ7uqrmT4xXlaOjVuUC","Hanuman Chalisa","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","2024-04-23","https://i.scdn.co/image/ab67616d0000b273b44225d370b0d665163d4bc2","1","1","517305","https://p.scdn.co/mp3-preview/209c676b776c425e52463bcf0251e687c5398a3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","INN682102451","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T12:50:53Z","bhajan,devotional","0.886","0.315","2","-9.836","1","0.035","0.698","0.000504","0.0848","0.597","112.989","4","","Skyline Production And Entertainments","C 2024 Skyline Production And Entertainments, P 2024 Skyline Production And Entertainments"
"spotify:track:2NHrrLTcaxBlxYWXXIqfK6","Bhagwati Stotram","spotify:artist:4Z30T0Qe2cZI9K6AwJEzGg","Susmirata Dawalkar","spotify:album:6o1Px0gZUe6TKlTGbC17l2","Bhagwati Stotram","spotify:artist:4Z30T0Qe2cZI9K6AwJEzGg","Susmirata Dawalkar","2023-05-12","https://i.scdn.co/image/ab67616d0000b273efed656b76ccf5b18484e0a5","1","1","159529","https://p.scdn.co/mp3-preview/ebbb7090020bb9bbe023fb713a6cf50c3f52dba3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","INR322300049","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T12:48:43Z","bhajan,devotional","0.605","0.206","11","-12.217","1","0.0285","0.82","0","0.245","0.429","85.159","4","","Rajshri Soul","C 2023 Rajshri Entertainment Private Limited, P 2023 Rajshri Entertainment Private Limited"
"spotify:track:60BAX9JgURwCb0kc0YMpkq","Mantra To Start Your Day - Gajananam Bhutaganadi Sevitam","spotify:artist:5yMmIhZ6dUYvVjjqzFOOzN","Mahakatha","spotify:album:7KyabmcDA9Cizifewdx8Mz","Ancient Chants from India","spotify:artist:5yMmIhZ6dUYvVjjqzFOOzN","Mahakatha","2017-09-20","https://i.scdn.co/image/ab67616d0000b2738b90e0742110e0e89c49cae0","1","6","179802","https://p.scdn.co/mp3-preview/85de9d326a3753fc42e75c2799dfbd36451b0d46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CACWV1774930","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T13:02:32Z","devotional,bhajan","0.274","0.131","0","-12.723","0","0.037","0.875","0.00102","0.108","0.0871","119.419","3","","Mahakatha","C 2017 Mahakatha, P 2017 Madras Blues"
"spotify:track:75EotbENCjqNb5Cs6iCqhi","Sarva Mangal Mangalye","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","spotify:album:2oLyWVMP977RfL8xmIEfKH","Sarva Mangal Mangalye","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","2024-02-08","https://i.scdn.co/image/ab67616d0000b2730d52bee8b3b0d4e7a0bd3fc4","1","1","506118","https://p.scdn.co/mp3-preview/c427ef76759c96da0d8d273c8787dcb027088bff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","INN682102209","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T12:36:47Z","bhajan,devotional","0.682","0.433","3","-7.764","1","0.0258","0.646","0","0.0875","0.323","107","4","","Skyline Production And Entertainments","C 2024 Skyline Production And Entertainments, P 2024 Skyline Production And Entertainments"
"spotify:track:4bcc92EwI9zH9SawQYYrUA","Tane Haiyama Padhravu Re","spotify:artist:7exaRUHjGMdwPUaZkvBJnb","Divyang Ray","spotify:album:5GK0IkAfuAblB5yx9S1ygd","Tane Haiyama Padhravu Re","spotify:artist:7exaRUHjGMdwPUaZkvBJnb","Divyang Ray","2016-04-16","https://i.scdn.co/image/ab67616d0000b273540dce1d935cd43117d10c3b","1","1","577500","https://p.scdn.co/mp3-preview/81fdc6f1da19d7a3595c5888a7427b417554538a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM4DW1638902","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T13:03:45Z","bhajan","0.682","0.428","7","-8.064","1","0.0274","0.594","0","0.246","0.318","99.99","1","","iAmAkshar","C 2016 iAmAkshar, P 2016 iAmAkshar"
"spotify:track:4caG3rDBMXGLWzCzhXZ92c","Humare Saath Shri Raghunath","spotify:artist:0ivZyfIHsCjQGS5OqHt3hA","Agam Aggarwal","spotify:album:4KVyUsDWT1tyPWrRdHSUeo","Humare Saath Shri Raghunath","spotify:artist:0ivZyfIHsCjQGS5OqHt3hA","Agam Aggarwal","2022-10-17","https://i.scdn.co/image/ab67616d0000b2734ab8c098eb041ef10cba5d7e","1","1","249365","https://p.scdn.co/mp3-preview/154dae349edbcfbba63fe2439591647c79c456e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","INS932200331","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T13:03:59Z","bhajan,devotional","0.681","0.638","5","-8.024","0","0.0584","0.684","0","0.0971","0.554","134.071","1","","Shemaroo Entertainment Ltd.","C 2022 Shemaroo Entertainment Ltd., P 2022 Shemaroo Entertainment Ltd."
"spotify:track:2hFSTtirDGoMiMaO8jizAw","Ram Siya Ram","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","spotify:album:4J0lWKoTMr0qDErQlS4Efe","Ram Siya Ram","spotify:artist:25z75NKuPErImPddNQYD6g","Religious India","2024-04-15","https://i.scdn.co/image/ab67616d0000b273a8bf6025b0ea1300a1fdc1c8","1","1","510243","https://p.scdn.co/mp3-preview/dba9d1aeff7f574a73023292520e7877afa5e557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","INN682102433","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T13:04:05Z","bhajan,devotional","0.641","0.576","0","-9.016","0","0.0272","0.637","0.00157","0.109","0.795","150.998","4","","Skyline Production And Entertainments","C 2024 Skyline Production And Entertainments, P 2024 Skyline Production And Entertainments"
"spotify:track:2zO8To88H0kEv5qEG0aYYB","Parvati Panchakam","spotify:artist:4Z30T0Qe2cZI9K6AwJEzGg","Susmirata Dawalkar","spotify:album:1UCl6x6UNwkp2M2LZ7MuFS","Parvati Panchakam","spotify:artist:4Z30T0Qe2cZI9K6AwJEzGg","Susmirata Dawalkar","2023-08-01","https://i.scdn.co/image/ab67616d0000b27306975012ac08bc627c7dc2e1","1","1","177108","https://p.scdn.co/mp3-preview/075d77e99e1f8d9b210f3499abcc82b29370b398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","INR322300068","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-06-25T13:17:33Z","bhajan,devotional","0.649","0.117","0","-17.021","0","0.0497","0.875","0","0.0738","0.437","82.674","4","","Rajshri Soul","C 2023 Rajshri Entertainment Private Limited, P 2023 Rajshri Entertainment Private Limited"
