"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Just the Way You Are","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:1uyf3l2d4XYwiEqAb7t7fX","Doo-Wops & Hooligans","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2010-05-11","https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b","1","2","220734","https://p.scdn.co/mp3-preview/6d1a901b10c7dc609d4c8628006b04bc6e672be8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USAT21001269","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-06T13:38:25Z","","0.635","0.841","5","-5.379","1","0.0422","0.0134","0","0.0622","0.424","109.021","4","","Atlantic Records","C © 2010 Atlantic Recording Corporation For the United States and WEA International Inc. for the world outside of the United States., P ℗ 2010 Atlantic Recording Corporation For the United States and WEA International Inc. for the world outside of the United States."
"spotify:track:7vFoFDWqTX0mHzLfrF1Cfy","Cheerleader (Felix Jaehn Remix) - Radio Edit","spotify:artist:5MouCg6ta7zAxsfMEbc1uh, spotify:artist:4bL2B6hmLlMWnUEZnorEtG","OMI, Felix Jaehn","spotify:album:7cVXH4slEYzGjDh498OFyL","Me 4 U","spotify:artist:5MouCg6ta7zAxsfMEbc1uh","OMI","2015-10-16","https://i.scdn.co/image/ab67616d0000b27385ca00029c70d6b5b8372e96","1","1","180565","https://p.scdn.co/mp3-preview/9ef1666d9a28af2e8e531754e1804c736a8e6cec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUS11202574","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-11T15:50:17Z","tropical house","0.782","0.685","4","-6.237","1","0.0309","0.166","0.0000118","0.16","0.603","118.02","4","","Ultra Records, LLC","P (P) 2015 Ultra Records, LLC"
"spotify:track:6Td37HXpeCVelczrLcg73L","Full Time Lover","spotify:artist:0tC995Rfn9k2l7nqgCZsV7","Prateek Kuhad","spotify:album:4WLh56ZjwINYBNhaxLvEhA","The Way That Lovers Do","spotify:artist:0tC995Rfn9k2l7nqgCZsV7","Prateek Kuhad","2022-05-20","https://i.scdn.co/image/ab67616d0000b27316168e9d75e544b005bc0a0a","1","11","95000","https://p.scdn.co/mp3-preview/8c9ae8a83f680c0cea6d57641661663397cd3066?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USAT22201725","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-08T12:41:54Z","indian indie,hindi indie","0.541","0.254","9","-10.966","1","0.0387","0.929","0.000325","0.101","0.251","187.857","4","","Elektra (NEK)","C © 2022 Elektra Records, LLC, P ℗ 2022 Elektra Records, LLC"
"spotify:track:5aQe0faFOjeskrHwpleXLJ","Yellow Paper Daisy","spotify:artist:04hYGGSjYtLekuuJXEGrIl","When Chai Met Toast","spotify:album:13ATYLc7i4HuNbQrAEawOH","Yellow Paper Daisy","spotify:artist:04hYGGSjYtLekuuJXEGrIl","When Chai Met Toast","2021-09-17","https://i.scdn.co/image/ab67616d0000b273fc3b86df0eb110c1f0eec971","1","1","199772","https://p.scdn.co/mp3-preview/1c2f17ba0bc2e9b47d6c76bc3a0b23985467684a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FRX452174938","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-11T15:42:20Z","indian indie,hindi indie,folk pop","0.428","0.442","7","-10.485","1","0.0303","0.775","0.000132","0.0818","0.687","105.829","4","","Independent","C 2021 When Chai Met Toast, P 2021 When Chai Met Toast"
"spotify:track:0lx2cLdOt3piJbcaXIV74f","willow","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2Xoteh7uEpea4TohMxjtaq","evermore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-12-11","https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be","1","1","214706","","false","76","USUG12004699","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-08T12:47:43Z","","0.392","0.574","7","-9.195","1","0.17","0.833","0.00179","0.145","0.529","81.112","4","","Taylor Swift","C © 2020 Taylor Swift, P ℗ 2020 Taylor Swift"
"spotify:track:0Y0HXp20M605wjIRNRrsZA","Tu Jo Mere Sur Men Sur Milaye","spotify:artist:2wPsNCwhEGb0KvChZ5DD52, spotify:artist:7lkL9oVWXjPsVbLh4o1j6Y","K. J. Yesudas, Hemlata","spotify:album:7iYHjTUxyGbbZp7xgWoXQi","Common Man Superstar Amol Palekar","spotify:artist:1nna3aTNUQCZmPVSq8pDcD","Amol Palekar","2023-03-30","https://i.scdn.co/image/ab67616d0000b273cd1c1d1de021460b4b6dbf7c","1","10","307800","https://p.scdn.co/mp3-preview/4b2b71d8fef15cf5b841a40e203b9e45ed0247bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","INH109336930","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-08T12:51:51Z","malayalam pop,devotional,mollywood,tamil pop,bhajan,devotional,ghazal,bhojiwood","0.506","0.537","7","-6.521","0","0.0274","0.822","0.0000431","0.34","0.605","92.553","4","","Saregama","C 2023 Saregama India Ltd, P 2023 Saregama India Ltd"
"spotify:track:6IAuH3hgTRpUUdmOGubXGS","Can I Call You Rose?","spotify:artist:0oK5D6uPhGu4Jk2dbZfodU","Thee Sacred Souls","spotify:album:6ofJrAZaaX0iWTXYXObUxE","Thee Sacred Souls","spotify:artist:0oK5D6uPhGu4Jk2dbZfodU","Thee Sacred Souls","2022-08-26","https://i.scdn.co/image/ab67616d0000b2734bc05e5b1e506a6acea17148","1","1","190546","https://p.scdn.co/mp3-preview/e573dac4d6208cf64024fe760b4fdb2d23b2ccaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USA2B2033442","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-06T13:36:20Z","retro soul","0.302","0.4","0","-8.212","0","0.0364","0.719","0.000621","0.172","0.421","180.852","3","","Penrose / Daptone Records","C 2022 Daptone Records, P 2022 Daptone Records"
"spotify:track:1kPP1sSkV7Aax5WTwTj7vP","Everything To Me","spotify:artist:3Q2ya2vGeOhQ9CaF9wWNP6","Shane Filan","spotify:album:5FIo9Pqu76vG3JNI5s5nR1","Everything To Me","spotify:artist:3Q2ya2vGeOhQ9CaF9wWNP6","Shane Filan","2013-01-01","https://i.scdn.co/image/ab67616d0000b273024b985c898d7f93aae23fcb","1","1","203021","","false","10","GBUM71304546","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-08T12:52:58Z","","0.727","0.635","0","-6.577","1","0.0604","0.168","0","0.113","0.629","106.93","4","","Capitol","C © 2013 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2013 Capitol Records, a division of Universal Music Operations Limited"
"spotify:track:0sKlV58cODrjxGFOyf9IXY","The Way You Make Me Feel - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:24TAupSNVWSAHL0R7n71vm","Bad 25th Anniversary","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","2012-09-18","https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d","1","2","298120","https://p.scdn.co/mp3-preview/15d24dd0a2bb92c83b7579a9fd2cc984de772d63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM11204981","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-11T15:47:17Z","","0.877","0.854","1","-4.523","1","0.147","0.0544","0.000055","0.144","0.54","114.472","4","","Epic/Legacy","P (P) 1993 MJJ Productions Inc./(P) 2012 MJJ Productions Inc./(P) 2012 MJJ Productions Inc."
"spotify:track:5ivF4eQBqJiVL5IAE9jRyl","I Won't Give Up","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","spotify:album:7oD9oCCtFhg5RoLtMR5TKl","Love Is a Four Letter Word","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","2012-04-13","https://i.scdn.co/image/ab67616d0000b2733f1ceb305415a090c0885986","1","4","240165","https://p.scdn.co/mp3-preview/3df95d1edb89637d4aadce58fcb7c3cc6fc665d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USEE11100768","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-04-11T15:48:39Z","soft pop,acoustic pop","0.483","0.303","4","-10.058","1","0.0429","0.694","0","0.115","0.139","133.406","3","","Atlantic Records","C © 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
