"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1oJSGPkxFW5hZMyZlyKXSx","Soul of Varisu (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:2Z6vBoydNCam7spQcXvIE4","Soul of Varisu (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2023-01-15","https://i.scdn.co/image/ab67616d0000b273f0d2e465d333bf3a4157de21","1","1","123000","https://p.scdn.co/mp3-preview/cd372ceb7dba8d8b152fc9f842083008d89bcdea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QZFZ32317663","spotify:user:1150114117","2023-03-06T00:10:11Z","","0.177","0.302","1","-10.467","0","0.0399","0.817","0.838","0.115","0.0655","76.957","4","","2647939 Records DK","C 2023 2647939 Records DK, P 2023 2647939 Records DK"
"spotify:track:4vmmuZIT1PBiUtUEpMlagZ","Unakaga (Bigil) Flute Instrumental","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:2klxlCdMrllMK0qb127D2D","Unakaga (Bigil) Flute Instrumental","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-12-03","https://i.scdn.co/image/ab67616d0000b2737e0bec9f75f134e2f2ec43c9","1","1","227369","https://p.scdn.co/mp3-preview/36c1b7c2b2cc0794488e42f36f236c6a5dd70539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZTB52277687","spotify:user:1150114117","2023-03-06T00:10:34Z","","0.606","0.465","9","-5.93","1","0.0411","0.885","0.601","0.246","0.49","136.722","3","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:7JSygL1vQ2hRtn75pWFxuZ","Maya Nadhi (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:0cSq9Rkff63yZnAYxR5Spv","Maya Nadhi (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-11-21","https://i.scdn.co/image/ab67616d0000b273a13090c215a04909f69ea065","1","1","184000","https://p.scdn.co/mp3-preview/709398934a7c6f4c3dcd687328e19c6a904fe276?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZTB32211639","spotify:user:1150114117","2023-03-06T00:10:41Z","","0.687","0.19","3","-15.555","0","0.0403","0.96","0.907","0.109","0.521","136.008","4","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:0j0RNdOTgl5ix2arIbSkM7","Janani Janani (Flute Instrumental)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:3JvOVCgJWNVrkYZ5BkaU22","Janani Janani (Flute Instrumental)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-11-14","https://i.scdn.co/image/ab67616d0000b2735d5190770903a46b9c64bc5e","1","1","337922","https://p.scdn.co/mp3-preview/8832a8bdaa9a1c22a8f08032c357aec5c59697a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZTAZ2250948","spotify:user:1150114117","2023-03-06T00:10:51Z","","0.732","0.479","9","-7.515","1","0.0633","0.787","0.338","0.0827","0.359","119.885","5","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:0Rr7lxWOmsU2DNLMEvfeOY","Thaarame - Flute Version","spotify:artist:3nZpJTrdyYWxJPCGcugREw, spotify:artist:7ny4HxvB0BgWPg69wz6bz2","Flute Siva, Suren Thavabalasingam","spotify:album:52HOtDiP13TQ0Frt3H82AN","Thaarame","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-11-14","https://i.scdn.co/image/ab67616d0000b273a91bdf264e9bf3f56436f15a","1","1","227872","https://p.scdn.co/mp3-preview/75b8978ff5565807fe4e10dd2f5033a749de79f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZTAZ2250964","spotify:user:1150114117","2023-03-06T00:10:57Z","","0.389","0.511","9","-7.358","0","0.0319","0.883","0.907","0.0954","0.22","140.512","3","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:5JJZ9LvWhhKt3250MHWQWO","Neethane Neethane - Flute Instrumental","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:7gHhufZFUDktzDX4GMeVI6","Neethane Neethane","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-10-24","https://i.scdn.co/image/ab67616d0000b273ff90e80a6acfb76cf752ed4c","1","1","175203","https://p.scdn.co/mp3-preview/f73594f2994692d27c8f3859ffaf67eca47a0e48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZTAT2270286","spotify:user:1150114117","2023-03-06T00:11:04Z","","0.511","0.337","2","-14.422","0","0.0354","0.923","0.527","0.068","0.228","147.953","4","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:7FJSLrSDkbCkUu784xNgdv","Inkem Inkem (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:6MK0rlXlOoN9Qx4qZ42Xrs","Inkem Inkem (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-04-21","https://i.scdn.co/image/ab67616d0000b273340f21074f2611688235bb2f","1","1","233311","https://p.scdn.co/mp3-preview/4ac211c01ed8b5df1a8440c85eab9227ff9331a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZHN62269859","spotify:user:1150114117","2023-03-06T00:11:14Z","","0.647","0.493","4","-7.309","1","0.0335","0.681","0.857","0.0803","0.522","136.69","4","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:6aGSrMNTM7YWLcwXoaDJ2n","Ennai Thalatta Varuvala (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:0Em3qyygwjEvRyUrS2TRAf","Ennai Thalatta Varuvala (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-04-13","https://i.scdn.co/image/ab67616d0000b2732d69310bae481a962f5f0f22","1","1","255578","https://p.scdn.co/mp3-preview/94c18fd6c869a613e657e35be4739bfb20ebbd9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZHN52207317","spotify:user:1150114117","2023-03-06T00:11:20Z","","0.762","0.562","9","-7.722","0","0.0355","0.252","0.505","0.117","0.508","117.025","4","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:7Gz9QQsTAegTtbru5qnwl4","Kehna Hi Kya (Kannalane) Flute","spotify:artist:3nZpJTrdyYWxJPCGcugREw, spotify:artist:6wFBzNMdir7ui5qWZmDZYV","Flute Siva, Thibisan Balachandran","spotify:album:6xth6I8A5XM7NLjnS0IxzH","Kehna Hi Kya (Kannalane) Flute","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-03-22","https://i.scdn.co/image/ab67616d0000b2737ab1e84ff41305b62bfb2a8a","1","1","240520","https://p.scdn.co/mp3-preview/02b9372d8bc6e87cd805647220b36437d494a8f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZES72295246","spotify:user:1150114117","2023-03-06T00:11:50Z","devotional,bhajan","0.656","0.363","9","-10.02","0","0.0311","0.915","0.963","0.118","0.395","126.93","4","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:2vO92OpkCuc1QO5HziyGBg","Yaanji (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:54b1HB70DUyylmWLBmbwbx","Yaanji (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-01-20","https://i.scdn.co/image/ab67616d0000b27353bceb9e60de1dc15ef164a1","1","1","167750","https://p.scdn.co/mp3-preview/65c787fc275bb952691472f20a39d1bd087ee58f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZFZ32265920","spotify:user:1150114117","2023-03-06T00:11:57Z","","0.585","0.339","9","-13.472","0","0.0298","0.904","0.0978","0.554","0.48","132.946","4","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:0TpGI9LDpnimqBQ5W7mhPz","Naan Pizhai (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:1hgFbv0VG7MBo5RXLMBCIw","Naan Pizhai (Flute)","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2022-01-19","https://i.scdn.co/image/ab67616d0000b2733004d5ef7462ff83c56ccf87","1","1","242352","https://p.scdn.co/mp3-preview/a94c6fd57ea411c73c3196e694ed90fbf8bbf600?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QZFZ32226693","spotify:user:1150114117","2023-03-06T00:12:05Z","","0.347","0.286","2","-11.984","1","0.0302","0.986","0.965","0.163","0.256","152.88","3","","2647939 Records DK","C 2022 2647939 Records DK, P 2022 2647939 Records DK"
"spotify:track:6F4aGw5i1BNVKdftPtJJ9U","Yaar Azhaippadhu Flute Instrumental - Instrumental","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:2JWXvxbIXwe8UNWMoYjOhl","Yaar Azhaippadhu Flute Instrumental","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2021-04-27","https://i.scdn.co/image/ab67616d0000b27304cd2a26cd6e34c3dfed1055","1","1","249156","https://p.scdn.co/mp3-preview/04c4bd78f291a01d2b1562640b4b22696681c1f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZHN42148577","spotify:user:1150114117","2023-03-06T00:12:13Z","","0.356","0.482","7","-7.831","0","0.0302","0.933","0.152","0.113","0.362","115.008","3","","2647939 Records DK","C 2021 2647939 Records DK, P 2021 2647939 Records DK"
"spotify:track:0FeFoN93tz5Wh4fZhAnCt3","Vennilave Vennilave [Chanda Re] [Flute Instrumental]","spotify:artist:3nZpJTrdyYWxJPCGcugREw, spotify:artist:6wFBzNMdir7ui5qWZmDZYV","Flute Siva, Thibisan Balachandran","spotify:album:0CgvGHMUmlTxsz5RobUJYc","Vennilave Vennilave [Chanda Re] [Flute Instrumental]","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2020-12-30","https://i.scdn.co/image/ab67616d0000b273cdc04dd5bdbaab32716c4d0c","1","1","237037","https://p.scdn.co/mp3-preview/41592c9283d6103f3dcd4e16796f874f1e2275bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZFYW2182870","spotify:user:1150114117","2023-03-06T00:12:22Z","devotional,bhajan","0.411","0.486","6","-9.455","0","0.0358","0.832","0.306","0.0982","0.495","162.034","4","","2647939 Records DK","C 2020 2647939 Records DK, P 2020 2647939 Records DK"
"spotify:track:6yrKJhrXXdghCQb1Pib7Tg","Kadhal Rojave (Roja Janeman) [Flute Instrumental]","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:5o2SBW3ysm1G8AwUnCvHaq","Kadhal Rojave (Roja Janeman) [Flute Instrumental]","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2020-12-18","https://i.scdn.co/image/ab67616d0000b2732abe34e63fd1244b9abbb7bd","1","1","228131","","false","0","QZPLR2045706","spotify:user:1150114117","2023-03-06T00:12:31Z","","0.671","0.422","4","-8.928","1","0.031","0.54","0.956","0.123","0.273","90.947","4","","2647939 Records DK","C 2020 2647939 Records DK, P 2020 2647939 Records DK"
"spotify:track:023vSXSneXazWR75AaGs5F","Ennai Vittu (Flute) Love Today","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","spotify:album:0C08ydbpfAW02Zr859makj","Ennai Vittu (Flute) Love Today","spotify:artist:3nZpJTrdyYWxJPCGcugREw","Flute Siva","2023-03-04","https://i.scdn.co/image/ab67616d0000b2737b1145a15fe3641826eee79f","1","1","255428","https://p.scdn.co/mp3-preview/449834d6308f139c16d238e95ae1f547b8a52bf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZES72337862","spotify:user:1150114117","2023-03-15T12:57:26Z","","0.56","0.392","0","-10.894","0","0.0391","0.945","0.946","0.0909","0.254","139.997","4","","2647939 Records DK","C 2023 2647939 Records DK, P 2023 2647939 Records DK"
"spotify:track:6KSa2K26GDemvFWIKQRmhW","En Jeevan","spotify:artist:3apnz04XPisQ04dTfz2Gaw","Flute Navin","spotify:album:0hBfWJXTVK1vBdlvEXfr95","Think Instrumental with Navin, Vol. 1","spotify:artist:3apnz04XPisQ04dTfz2Gaw","Flute Navin","2020-06-04","https://i.scdn.co/image/ab67616d0000b2738aebf62fba2a4ea3437c718f","1","2","197250","https://p.scdn.co/mp3-preview/68e23bf9f8ecbc66ba0b6795749456f370e970b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","INT202002295","spotify:user:1150114117","2023-07-01T14:04:56Z","mollywood,malayalam pop","0.348","0.237","7","-11.753","0","0.0338","0.856","0.886","0.122","0.273","179.863","3","","Think Music","C 2020 Think Music, P 2020 Think Music"
"spotify:track:4VEXS67QGj4mn0RO0zrTMA","The Life of Ram - Instrumental Version","spotify:artist:3apnz04XPisQ04dTfz2Gaw","Flute Navin","spotify:album:6i6vCPYSFNMrAKaV24TmjD","Think Instrumental with Flute Navin, Vol. 02 (Instrumental Version)","spotify:artist:3apnz04XPisQ04dTfz2Gaw","Flute Navin","2020-07-31","https://i.scdn.co/image/ab67616d0000b2736aecf8cf6b49a2cd039c4be2","1","4","215714","https://p.scdn.co/mp3-preview/96af01c3e445cbb3701fd004558a234311d942ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","INT202002412","spotify:user:1150114117","2023-07-01T14:06:31Z","mollywood,malayalam pop","0.316","0.22","1","-13.751","0","0.0329","0.939","0.8","0.134","0.0919","83.768","4","","Think Music","C 2020 Think Music, P 2020 Think Music"
