"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5fbC10uq63kWj2Begp4DeM","THE HANUMAN CHALISA RAP","spotify:artist:71RYvQQ7Z25xllai2xKTsW, spotify:artist:201G9dELgC7cLmYJECmPVq","PRITH V, Superstar Beatz","spotify:album:1oxknRWMFw7QGXQw8ITEsx","THE HANUMAN CHALISA RAP","spotify:artist:71RYvQQ7Z25xllai2xKTsW","PRITH V","2020-05-11","https://i.scdn.co/image/ab67616d0000b273fae2043435cbbf43b277c735","1","1","150000","https://p.scdn.co/mp3-preview/6e3107849498920b1c97c5f0b4ac4d6538cbfc32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QZK6H2164262","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:20:16Z","bhajan,devotional","0.752","0.641","7","-8.609","0","0.267","0.431","0.0135","0.123","0.518","160.025","4","","3181942 Records DK","C 2021 3181942 Records DK, P 2021 3181942 Records DK"
"spotify:track:75BGQQVlHK1rrE0DN9ei3C","Hanuman Rhythm","spotify:artist:7D2HBoOVlNYCwvIXLWALXe","Bass Rebellion","spotify:album:02IOLHuDnS6Iavj6zTHiMW","Hanuman Rhythm","spotify:artist:7D2HBoOVlNYCwvIXLWALXe","Bass Rebellion","2018-08-25","https://i.scdn.co/image/ab67616d0000b27379fc961a4ba28ea2fd9b5718","1","1","260293","https://p.scdn.co/mp3-preview/ffc5916a9d8d173bf7aa9d62e1de633b562b9a5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QMPKX1812921","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:20:16Z","bhajan,devotional","0.525","0.791","6","-9.36","1","0.3","0.324","0.0705","0.167","0.235","110.041","3","","785792 Records DK","C 2018 785792 Records DK, P 2018 785792 Records DK"
"spotify:track:5aa4zMfrJ16iDnS6UIKtlL","Aasman Ko Chukar","spotify:artist:6wa1AsxB9oJP7lwNSmbcYx, spotify:artist:23y7sT3YJztGVJUMMYuxL4, spotify:artist:54SpMvvemA3VnhHCCUmtW9, spotify:artist:7iXMvQNunidE9y5aO4Bjj9, spotify:artist:7sCO08Lf7f0FHy2KEEZ5lk, spotify:artist:1RnfOWhJmlJgI6yGAtdX1v, spotify:artist:2B6by2aKuDkLUo06LV960f, spotify:artist:0iBqHeUD0rnSWXbC9UAT5O","Daler Mehndi, Hrishikesh, Neuman, FRANCO, Shazneen Arethna, Samantha, Sunayana, Tapas Relia","spotify:album:43oDfsZbEaJ7ismXqMluz9","Hanuman Returns","spotify:artist:6wa1AsxB9oJP7lwNSmbcYx, spotify:artist:1RnfOWhJmlJgI6yGAtdX1v, spotify:artist:0iBqHeUD0rnSWXbC9UAT5O","Daler Mehndi, Samantha, Tapas Relia","2007-12-15","https://i.scdn.co/image/ab67616d0000b273f6cf72bd190be11e87c9f1e5","1","1","274081","https://p.scdn.co/mp3-preview/f7b8d9a0eb0cd925f0a5af91f4247a40122dfcec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS180707609","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:20:16Z","bhangra,bollywood,bhajan,bhajan,devotional,marathi pop,bhajan,devotional,bhajan,devotional,bhajan,devotional,bhajan,devotional,bhajan,devotional,bhajan,devotional","0.536","0.438","7","-12.894","1","0.103","0.119","0","0.129","0.127","144.626","4","","T-Series","C 2007 Super Cassettes Industries Private Limited, P 2007 Super Cassettes Industries Private Limited"
"spotify:track:2U5yM4bR3uFzHSc1H7KnUC","Jai Hanuman Gyan Gun Sagar (Theme)","spotify:artist:3zSrMVeD3D3NghELeUK4Xb","Kartik Shah","spotify:album:3yPPhqvg8eLkmvUJGQTMiI","Maruti Mera Dosst","spotify:artist:3zSrMVeD3D3NghELeUK4Xb","Kartik Shah","2009-04-30","https://i.scdn.co/image/ab67616d0000b27322c5160e9a6bea4dd4d0ff1f","1","7","205866","https://p.scdn.co/mp3-preview/60ca6b3a2d1756f00503002ff5d49b090895149d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","INS180902249","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:20:16Z","malayalam hip hop,tamil hip hop,tamil indie,bhajan,devotional,desi hip hop","0.687","0.826","9","-7.198","1","0.0961","0.285","0.00018","0.0912","0.169","95.019","4","","T-Series","C 2009 Super Cassettes Industries Private Limited, P 2009 Super Cassettes Industries Private Limited"
"spotify:track:6IpRsKNb71BitzSfWW26Zp","Mahabali Maharudra","spotify:artist:0iBqHeUD0rnSWXbC9UAT5O, spotify:artist:4iA6bUhiZyvRKJf4FNVX39, spotify:artist:1dVygo6tRFXC8CSWURQJq2, spotify:artist:5cB4d4jPYjMT326sjihQ4m, spotify:artist:33132SkzbRbOGL6fQBWHqQ, spotify:artist:4oVMLzAqW6qhRpZWt8fNw4, spotify:artist:3sOfYgQg5NKNaDOPg27TSr, spotify:artist:2ME9akyjf2IaOM5DLTqHUS","Tapas Relia, Vijay Prakash, Sonu Nigam, Shaan, Palash Sen, Kailash Kher, Madhushree Sneha Panth, Sapna Mukherjee","spotify:album:0kee4xS02XNY2pQIke9EDr","Hanuman","spotify:artist:0iBqHeUD0rnSWXbC9UAT5O","Tapas Relia","2005-10-10","https://i.scdn.co/image/ab67616d0000b2738dcf206dbc6de9aca4cdb06c","1","9","281495","https://p.scdn.co/mp3-preview/be4377f281dc3371974b69890988ccfe6f0f961e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","INT130500551","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:20:16Z","bhajan,devotional,kannada pop,sandalwood,tollywood,telugu pop,tamil pop,kollywood,kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bollywood,hindi pop,desi,bangla pop,desi pop,bhajan,indian indie,hindi indie,devotional,sufi,bhajan,bollywood,qawwali,hindi pop,devotional,kannada pop,bhajan,devotional,bhajan,devotional","0.738","0.475","1","-15.315","1","0.058","0.139","0","0.0966","0.336","104.994","4","","Times Music","C ℗ 2005 Times Music, P ℗ 2005 Times Music"
"spotify:track:6zYUAhqQ1uzkYCONion2Vr","Hanuman Chalisa","spotify:artist:1SJOL9HJ08YOn92lFcYf8a, spotify:artist:0Fm8rAvs16X9bLeNuHGNo2","Shankar Mahadevan, AJay","spotify:album:2pC19VoBEvkmLhvyxrj69U","Vaah! Life Ho Toh Aisi! (Original Motion Picture Soundtrack)","spotify:artist:0sSxphmGskGCKlwB9xa6WU, spotify:artist:1MMfxjqYdLlh9iYlNpe4Nq","Himesh Reshammiya, Ajay-Atul","2005-12-23","https://i.scdn.co/image/ab67616d0000b273176db8f3750340787f4977d5","1","3","569440","https://p.scdn.co/mp3-preview/c2208d57086bc4e54b86b71bed84a10a00c31ab9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","INT100500012","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:20:16Z","bollywood,marathi pop,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop,bhajan,devotional","0.693","0.718","9","-9.625","1","0.123","0.513","0.00000133","0.0851","0.408","101.994","4","","Tips Industries Ltd","C © 2005 Tips Industries Ltd. Under Exclusive License to ADA/Warner Music, P ℗ 2005 Tips Industries Ltd. Under Exclusive License to ADA/Warner Music"
"spotify:track:2j0vCFKzqXtVYOJeVNqSuU","Shiva Theme 1","spotify:artist:7x1utB3VaIi5nhA7WF2lUR","Armonian","spotify:album:4n5mXVB3RkwaxJOAGsmv7N","Mahadev","spotify:artist:7x1utB3VaIi5nhA7WF2lUR","Armonian","2021-12-14","https://i.scdn.co/image/ab67616d0000b2734091fe4f6a1fd53099afcef2","1","1","197052","https://p.scdn.co/mp3-preview/9a36c5edb51edaebb1a6709270199265136ef899?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZTAS2102144","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:24:46Z","bhajan,devotional","0.567","0.558","1","-11.459","1","0.0316","0.451","0.813","0.122","0.276","95.052","4","","2417384 Records DK","C 2021 2417384 Records DK, P 2021 2417384 Records DK"
"spotify:track:6Wo7nJCbnDbi05HtHu4rED","Yogi Shiva Mahadev (Hindi)","spotify:artist:07dLDdQaGtCzRksu1phXbG, spotify:artist:4kkFeWZDJDfSqNFeMmyze9, spotify:artist:5GnnSrwNCGyfAU4zuIytiS","Sounds of Isha, Aishwarya Nigam, Mohit Chauhan","spotify:album:7vZjchUXttrhj6q164939h","Yogi Shiva Mahadev (Hindi)","spotify:artist:07dLDdQaGtCzRksu1phXbG","Sounds of Isha","2019-02-25","https://i.scdn.co/image/ab67616d0000b27371dd0e070013996b61dc4049","1","1","158589","https://p.scdn.co/mp3-preview/32249c99606dd4c9d974fd7e769713511dfeba02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QMUUT1900013","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:24:46Z","devotional,bhajan,gujarati garba,bollywood,hindi pop,sufi,desi","0.684","0.774","9","-8.798","0","0.0311","0.32","0.000759","0.0961","0.73","97.039","4","","Isha Foundation","C 2019 Isha Foundation, P 2019 Isha Foundation"
"spotify:track:3Ww5br4PZZqReplB33Txdk","Shiva Tandav Stotram","spotify:artist:7x1utB3VaIi5nhA7WF2lUR","Armonian","spotify:album:4n5mXVB3RkwaxJOAGsmv7N","Mahadev","spotify:artist:7x1utB3VaIi5nhA7WF2lUR","Armonian","2021-12-14","https://i.scdn.co/image/ab67616d0000b2734091fe4f6a1fd53099afcef2","1","2","316583","https://p.scdn.co/mp3-preview/abd1909fce458df8500abcfdc980a809e5e4bc68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZTAS2102145","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:24:46Z","bhajan,devotional","0.515","0.611","9","-11.21","1","0.0929","0.159","0.0000109","0.294","0.308","104.25","3","","2417384 Records DK","C 2021 2417384 Records DK, P 2021 2417384 Records DK"
"spotify:track:6NljD1624idjiaeQYyQQqq","Kaal Bhairav","spotify:artist:7D2HBoOVlNYCwvIXLWALXe","Bass Rebellion","spotify:album:0lupnkF3vNaT57dS2fCvyg","Kaal Bhairav","spotify:artist:7D2HBoOVlNYCwvIXLWALXe","Bass Rebellion","2021-01-29","https://i.scdn.co/image/ab67616d0000b27301de43f4ef18128e77050477","1","1","195000","https://p.scdn.co/mp3-preview/02fcaf3c0f1d712d22b2f2ce29be5bb1d7c975ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZFZ42108181","spotify:user:anvmudrz23nwgvpspcjgnb0yw","2023-05-22T17:24:46Z","bhajan,devotional","0.666","0.855","11","-7.502","0","0.0721","0.0144","0.00041","0.499","0.459","137.973","4","","Bass Rebellion","C 2021 Bass Rebellion, P 2021 Bass Rebellion"
