"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:68NW8y5huPPDDuPT3IYywK","Sound of Heart","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","1","210000","https://p.scdn.co/mp3-preview/660a18b13f5d16ef501c8e3e02c9f52258152a06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZES81886566","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.649","0.198","9","-14.387","1","0.0384","0.781","0.945","0.115","0.173","140.127","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:1LQ9N6ZTr75tJecq187XRJ","Homecoming","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:0szI8z6jAzu3Zbmygv8XRS","Florian Bur, Sandro Friedrich","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","2","222631","https://p.scdn.co/mp3-preview/61d1536f0053b19db5e7050478ab90d60a93efbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZES81886567","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.278","0.263","7","-12.02","1","0.0314","0.67","0.844","0.104","0.0855","76.059","3","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:6G6sZvrG52c4GEEiQIy4yo","Be Strong","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:6lM6rCctpuMEtpFTGaQbAM, spotify:artist:3tgWc4Ys6SCQN7uHmf3H8W","Florian Bur, Aeralie Brighton, Deryn Cullen","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","3","273333","https://p.scdn.co/mp3-preview/7cb6a6c485375c65de87359177a1d2d862c15869?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZES81886568","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.545","0.263","1","-13.133","0","0.0297","0.83","0.935","0.0892","0.0569","90","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:5gbfZiwsXCc1Pp1NQLIY27","Secret","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:3tgWc4Ys6SCQN7uHmf3H8W, spotify:artist:0CjrM2C6gImbCZGUpzhBku","Florian Bur, Deryn Cullen, Tina Meier","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","4","258142","https://p.scdn.co/mp3-preview/69e43e5b2101e0c845f5ad211d64de9886831c48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QZES81886569","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.474","0.21","10","-18.622","1","0.0302","0.919","0.886","0.111","0.297","93.051","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:4dQx4ykaYdLs7CVdJHlkGg","Memory","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","5","103009","https://p.scdn.co/mp3-preview/76defd88143a65fc93f98d88c9b0478e359eac17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QZES81886570","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.174","0.213","10","-14.912","1","0.0356","0.932","0.972","0.11","0.219","63.125","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:2Zfldsw2WkEq05YPbXUvTA","Cry of Peace","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:6xTBv5twH8x30jSxDUavER, spotify:artist:4ijejASaFZOolpZwK0XO9O","Florian Bur, IIINO, Luciana Zogbi","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","6","110117","https://p.scdn.co/mp3-preview/b91fe6b2af6d333e94e10fa290c075ee06eaf0f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QZES81886571","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.483","0.452","8","-11.264","1","0.038","0.718","0.0046","0.106","0.186","113.154","5","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:5TEiAqVF8567deiqYZuQyD","This Is Africa","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:6xTBv5twH8x30jSxDUavER, spotify:artist:4ijejASaFZOolpZwK0XO9O","Florian Bur, IIINO, Luciana Zogbi","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","7","207321","https://p.scdn.co/mp3-preview/0f4bf2895726268f298dcc213b218a7de4e525da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QZES81886572","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.623","0.669","4","-11.849","1","0.0407","0.261","0.474","0.144","0.428","111.998","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:0IkNP3wDOXAAKKWpknMFbP","Sounds of Wood","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:2vA77Lip7q64hB2LsKj4k8","Florian Bur, Selma Forster","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","8","266400","https://p.scdn.co/mp3-preview/8b590119570086410f66e27cc118140aa5b6e0af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","QZES81886573","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.589","0.24","3","-19.121","1","0.0288","0.929","0.345","0.232","0.264","100.055","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:1rEoqJLYkKYteL8mHAr8q5","Forever","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:6xTBv5twH8x30jSxDUavER, spotify:artist:0gh17mB8gEltY4x7WZ4zpW","Florian Bur, IIINO, Asja Kadric","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","9","297857","https://p.scdn.co/mp3-preview/be9c473b39114ef70809eaebd4ecf75fa7b1a90d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QZES81886574","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.29","0.337","1","-15.065","1","0.0397","0.808","0.756","0.105","0.0504","140.021","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:6pYge6Jddpi4QFO4tLJjCc","The Little Dobby","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","10","141428","https://p.scdn.co/mp3-preview/dd681e7db9d9664005626f0a03e0f225119cc7d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QZES81886575","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.746","0.28","6","-16.794","1","0.0425","0.982","0.909","0.109","0.714","104.917","3","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:1GKkcLsBWAKIFkToFDDhbm","Mystic","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:2vA77Lip7q64hB2LsKj4k8","Florian Bur, Selma Forster","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","11","212571","https://p.scdn.co/mp3-preview/bb9bd3dea43ceae922c665c0785ae50601995e24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZES81886576","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.551","0.228","5","-17.713","1","0.0321","0.881","0.901","0.0535","0.162","140.109","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:5uO3A5KXZsI6fNNwv1FLaZ","Sun","spotify:artist:5oMNNPoFGc4QzaQehA2WHA, spotify:artist:6lM6rCctpuMEtpFTGaQbAM","Florian Bur, Aeralie Brighton","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","12","201322","https://p.scdn.co/mp3-preview/c9b59fb13dc60853d03852245548b852ee25e17c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","QZES81886577","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.533","0.325","7","-15.779","1","0.0261","0.777","0.462","0.117","0.152","93.005","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
"spotify:track:0onGjfEK3NPU0v6PXTt5VU","Roses Tree","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","spotify:album:5wxlMGmWZeqEfSERxBmfKw","A Story of Filio","spotify:artist:5oMNNPoFGc4QzaQehA2WHA","Florian Bur","2018-11-23","https://i.scdn.co/image/ab67616d0000b27329a4ce3eea15143c83963a16","1","13","358800","https://p.scdn.co/mp3-preview/690be6a20538d60dcce7c9e2e48edd2530e04a16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QZES81886578","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-05-05T12:43:13Z","","0.349","0.225","8","-23.081","1","0.0309","0.936","0.927","0.0739","0.149","100.078","4","","Tunes of Fantasy","C 2018 Tunes of Fantasy, P 2018 Tunes of Fantasy"
