"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:69EBg5Kl8SwvDfxFQ1aPNY","Bandeya Rey Bandeya","spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:1sVmXkzX2ukc6QvasrDBES","Arijit Singh, Asees Kaur","spotify:album:3dynRTuVOrAr5O7srr2txN","Simmba","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-12-27","https://i.scdn.co/image/ab67616d0000b2731563e3ab78422f323f54c57f","1","5","254841","https://p.scdn.co/mp3-preview/fc257210e6b0639d5f9bda11f102b748a2ea3c87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","INS181802847","","2025-01-09T17:06:24Z","hindi pop,bollywood,desi,bangla pop,hindi pop,bollywood,gujarati garba,desi","0.445","0.615","0","-7.714","1","0.0852","0.422","0","0.116","0.235","123.984","4","","T-Series","C 2018 Super Cassettes Industries Private Limited, P 2018 Super Cassettes Industries Private Limited"
"spotify:track:1wfmYC9gDGU5wp2LVrVSgx","Har Har Gange","spotify:artist:1SyKki7JI1AZNKwgNMkn25, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:6k6TIai4KyKG1DeIMftSmJ","Sachet-Parampara, Arijit Singh, Siddharth - Garima","spotify:album:4Uxt9DMRqqyFy1Ve6BuFte","Batti Gul Meter Chalu","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-09-08","https://i.scdn.co/image/ab67616d0000b273d43017a1e837396edbace767","1","5","182571","https://p.scdn.co/mp3-preview/9943d205f78b17afed3fd52e726e85636b3a7731?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INS181802004","","2025-01-09T17:02:41Z","bhajan,hindi pop,devotional,bollywood,hindi pop,bollywood,desi,bangla pop,gujarati garba,bollywood,desi,hindi pop,gujarati pop","0.464","0.388","2","-11.959","1","0.0288","0.541","0.0000579","0.416","0.11","107.784","4","","T-Series","C 2018 Super Cassettes Industries Private Limited, P 2018 Super Cassettes Industries Private Limited"
"spotify:track:3ZOD3aghbxBkgKsLu2jOEK","These Memories","spotify:artist:7IAFAOtc9kTYNTizhLSWM6","Hollow Coves","spotify:album:37yGR6auNK3W1XbcDYfSjw","Wanderlust","spotify:artist:7IAFAOtc9kTYNTizhLSWM6","Hollow Coves","2017-03-17","https://i.scdn.co/image/ab67616d0000b2732735fa941859fad0e5cc7460","1","6","313480","https://p.scdn.co/mp3-preview/1568ef008399f1b05c147be74f42fea8cfc888b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","AUGSG1600011","","2024-11-12T19:06:44Z","indie folk","0.521","0.265","1","-18.229","1","0.0319","0.961","0.133","0.0676","0.392","77.519","4","","Nettwerk Music Group","C 2017 Hollow Coves Music under exclusive license to Nettwerk Music Group Inc., P 2017 Hollow Coves Music under exclusive license to Nettwerk Music Group Inc."
"spotify:track:4sDbdBjuYQVdNNB4PiHUPo","Coastline","spotify:artist:7IAFAOtc9kTYNTizhLSWM6","Hollow Coves","spotify:album:37yGR6auNK3W1XbcDYfSjw","Wanderlust","spotify:artist:7IAFAOtc9kTYNTizhLSWM6","Hollow Coves","2017-03-17","https://i.scdn.co/image/ab67616d0000b2732735fa941859fad0e5cc7460","1","1","233973","https://p.scdn.co/mp3-preview/f7c248cfa7afa729dac6ac128765c261b76a7560?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","AUGSG1600007","","2024-11-10T07:22:34Z","indie folk","0.67","0.496","2","-11.23","1","0.0277","0.627","0.00319","0.0584","0.427","100.17","4","","Nettwerk Music Group","C 2017 Hollow Coves Music under exclusive license to Nettwerk Music Group Inc., P 2017 Hollow Coves Music under exclusive license to Nettwerk Music Group Inc."
"spotify:track:3hRV0jL3vUpRrcy398teAU","The Night We Met","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","spotify:album:4sD1qg4jwTZR4mvR4Iflk5","Strange Trails","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","2015-04-06","https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583","1","14","208211","https://p.scdn.co/mp3-preview/d563a6c29fb2e51cb10b638ab4f2409f0bf9d398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","US53Q1200103","","2024-10-18T06:20:41Z","","0.448","0.369","9","-9.514","1","0.0452","0.968","0.272","0.638","0.0998","174.097","3","","Play It Again Sam","C 2015 IAMSOUND Records released under exclusive license to Play It Again Sam, P 2015 IAMSOUND Records released under exclusive license to Play It Again Sam"
"spotify:track:2x1jP9BexWtOKudvuUHbaD","Home","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","spotify:album:2tLdKDCv86cEamk2nrL7q9","Up from Below","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","2009-07-14","https://i.scdn.co/image/ab67616d0000b273807aad47d0c190e56f263038","1","6","303200","https://p.scdn.co/mp3-preview/f03450f96af58de78c5de7f7d9f1d93ddd9eb945?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USVR90954206","","2024-10-18T06:10:32Z","","0.542","0.59","2","-6.623","1","0.0318","0.292","0.00055","0.177","0.136","111.661","4","","Community Music Group","P 2009 Community Music Group"
"spotify:track:0FHTJAMXhBhEnoEiMwxzO1","Assassins Creed Theme","spotify:artist:6dU7gPN2BhEPfO5QHLt7es, spotify:artist:5ct8AlcDgWMp4O25vbcjpC","Lorne Balfe, Assassin's Creed","spotify:album:4YQsbhCYkpmueqKC4aEn7f","Assassin's Creed Revelations (The Complete Recordings) [Original Game Soundtrack]","spotify:artist:3m6alJyeKYSCZ8078ttfaH, spotify:artist:0bcUh2ITmyOYgmE13NanJj, spotify:artist:5ct8AlcDgWMp4O25vbcjpC","Jesper Kyd, Lorne Bafle, Assassin's Creed","2011-11-15","https://i.scdn.co/image/ab67616d0000b273af90297c92789c595aeb64db","1","1","283840","https://p.scdn.co/mp3-preview/debd5a2d08b84636e68c53bf2ef9a1b687777847?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","CA2BN1100669","","2024-09-25T12:41:43Z","soundtrack,sea shanties,soundtrack","0.152","0.409","0","-14.528","0","0.0582","0.7","0.813","0.14","0.0373","99.952","4","","Ubisoft Music","C 2011 Ubisoft Music, P 2011 Ubisoft Music"
"spotify:track:6I3mqTwhRpn34SLVafSH7G","Ghost","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:5dGWwsZ9iB2Xc3UKR0gif2","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431","1","11","153190","","false","85","USUM72102635","","2024-09-24T06:38:14Z","","0.601","0.741","2","-5.569","1","0.0478","0.185","0.0000291","0.415","0.441","153.96","4","","RBMG/Def Jam","C © 2021 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2021 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:05QUYSOApWLr8oBbpONl7p","24/7, 365","spotify:artist:3IR6DvP0x2a6oUSist9UMu","elijah woods","spotify:album:4GIH14Ii08p24CHN7MlooG","24/7, 365","spotify:artist:3IR6DvP0x2a6oUSist9UMu","elijah woods","2023-07-24","https://i.scdn.co/image/ab67616d0000b273461401f9d30353d56be3f19f","1","1","167000","https://p.scdn.co/mp3-preview/c36c954550003bcc96a355cbd2edfdd3069ad08f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","QZNWU2345439","","2024-09-23T11:27:43Z","","0.664","0.549","6","-7.282","1","0.036","0.202","0","0.122","0.408","149.98","4","","elijah woods","C 2023 elijah woods, P 2023 elijah woods"
"spotify:track:4ITtnvLQ6SOA8XhiqkLa24","Gulabi Sadi","spotify:artist:4B9efXsA6sv4w3vts8E0T7, spotify:artist:7BcFJxi62f6cbPyxdTZGll","Sanju Rathod, G-SPXRK","spotify:album:5NDcb02xBpTu752ETxKuGN","Gulabi Sadi","spotify:artist:4B9efXsA6sv4w3vts8E0T7, spotify:artist:7BcFJxi62f6cbPyxdTZGll","Sanju Rathod, G-SPXRK","2024-02-06","https://i.scdn.co/image/ab67616d0000b27358ce01f471e8550949a5ac78","1","1","223347","https://p.scdn.co/mp3-preview/ac401fc779598cba58741b9e3349e622b1187eae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","FR2X42446102","","2024-09-23T07:06:43Z","marathi pop,marathi pop","0.798","0.552","0","-6.355","1","0.0768","0.393","0","0.0943","0.7","127.968","4","","Sanjay Rathod","C 2024 Sanjay Rathod, P 2024 Sanjay Rathod"
