"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2tva3nN2kQhBjHMC7Zlty6","Deewana Kar Raha Hai","spotify:artist:4W91bbPB2CTSsHwt7eqNl7","Javed Ali","spotify:album:3FNWFTcpB7AET1JRpqLRBd","Raaz 3","spotify:artist:6rN6kmxhP2vvWehNDNXE3i, spotify:artist:2kkQthS9OLpK4UqNWYqoVl","Rashid Khan, Jeet Gannguli","2012-08-03","https://i.scdn.co/image/ab67616d0000b273e108cdcfc16d1c27220fc8dd","1","1","338922","https://p.scdn.co/mp3-preview/d757a32703be6f313837c51abc49c04cbdb6603d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","INS181202495","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:13:55Z","sufi,bollywood,hindi pop,qawwali,desi,desi pop","0.538","0.736","11","-6.113","0","0.109","0.37","0","0.124","0.644","147.89","4","","T-Series","C 2012 Super Cassettes Industries Private Limited, P 2012 Super Cassettes Industries Private Limited"
"spotify:track:6f3ANRNQ8nCiPZ6VqXqq93","Main Rahoon Ya Na Rahoon","spotify:artist:76fuWYgIf3TVIopTs3vaJ6, spotify:artist:4IKVDbCSBTxBeAsMKjAuTs, spotify:artist:5r2baeTwcCJnuIsDIlxUJo","Amaal Mallik, Armaan Malik, Rashmi Virag","spotify:album:2hlpZpzFRp0SxM8Fk50dsp","Main Rahoon Ya Na Rahoon","spotify:artist:76fuWYgIf3TVIopTs3vaJ6, spotify:artist:4IKVDbCSBTxBeAsMKjAuTs, spotify:artist:5r2baeTwcCJnuIsDIlxUJo","Amaal Mallik, Armaan Malik, Rashmi Virag","2015-11-24","https://i.scdn.co/image/ab67616d0000b273899494fd2fbd757674459af3","1","1","309457","https://p.scdn.co/mp3-preview/94089142acb23fa52c72dcd9a88bd7892f14249d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","INS181502052","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:14:06Z","bollywood,hindi pop,desi,hindi pop,bollywood,kannada pop,tollywood,telugu pop,hindi pop,bollywood","0.55","0.488","6","-8.059","1","0.0284","0.718","0.000118","0.126","0.301","136.025","3","","T-Series","C 2015 Super Cassettes Industries Private Limited, P 2015 Super Cassettes Industries Private Limited"
"spotify:track:0WNCYgCd33LnBnw22WFuq8","Bhula Dena","spotify:artist:71oGOxg5ez52Hh1Ye41A98","Mustafa Zahid","spotify:album:0Rkv5iqjF2uenfL0OVB8hg","Aashiqui 2","spotify:artist:09UmIX92EUH9hAK4bxvHx6, spotify:artist:0E02VcvA5p1ndkLdqWD5JB, spotify:artist:2kkQthS9OLpK4UqNWYqoVl","Mithoon, Ankit Tiwari, Jeet Gannguli","2013-04-06","https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3","1","7","240723","https://p.scdn.co/mp3-preview/a56cfda634e097aa5aaed11fe766c9dd5860114c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","INS181303037","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:14:38Z","bollywood,hindi pop","0.519","0.508","4","-6.66","0","0.0295","0.63","0","0.203","0.235","131.728","4","","T-Series","C 2013 Super Cassettes Industries Private Limited, P 2013 Super Cassettes Industries Private Limited"
"spotify:track:5w0Xpt2YHT2Y3z3e4UUJP7","Kaise Hua","spotify:artist:5wJ1H6ud777odtZl5gG507, spotify:artist:4cAERazLlAzVGA10ORWaUP","Vishal Mishra, Manoj Muntashir","spotify:album:3uuu6u13U0KeVQsZ3CZKK4","Kabir Singh","spotify:artist:1SyKki7JI1AZNKwgNMkn25, spotify:artist:5wJ1H6ud777odtZl5gG507, spotify:artist:09UmIX92EUH9hAK4bxvHx6","Sachet-Parampara, Vishal Mishra, Mithoon","2019-06-14","https://i.scdn.co/image/ab67616d0000b273c5545f737b16ad5ee767b62a","1","2","234722","https://p.scdn.co/mp3-preview/57db7276f8c64efca52b9e8154f9312403456950?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INS181903732","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:16:05Z","bollywood,hindi pop,bhajan,hindi pop,bollywood,devotional","0.37","0.467","2","-6.973","1","0.0411","0.442","0","0.109","0.162","137.796","4","","T-Series","C 2019 Super Cassettes Industries Private Limited, P 2019 Super Cassettes Industries Private Limited"
"spotify:track:1feANd8EfcDP5UqSvbheM3","Bekhayali (From ""Kabir Singh"")","spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:1SyKki7JI1AZNKwgNMkn25","Sachet Tandon, Sachet-Parampara","spotify:album:5m5aIc0rrrPUMDARDnQzB9","Bekhayali (From ""Kabir Singh"")","spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:1SyKki7JI1AZNKwgNMkn25","Sachet Tandon, Sachet-Parampara","2019-05-24","https://i.scdn.co/image/ab67616d0000b27390d98409f70719daa0dc0421","1","1","371790","https://p.scdn.co/mp3-preview/bd81daa82f9ef99a27aa6be34325623f8ec8ccb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","INS181901739","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:16:50Z","bhajan,hindi pop,devotional,bollywood,desi pop,desi,bhajan,hindi pop,devotional,bollywood","0.308","0.585","9","-5.18","0","0.0428","0.45","0","0.319","0.345","171.843","3","","T-Series","C 2019 Super Cassettes Industries Private Limited, P 2019 Super Cassettes Industries Private Limited"
"spotify:track:4RCd3Gdtt3dNedof64hqRD","Phir Mohabbat (From ""Murder 2"")","spotify:artist:6QtJ6BVdj43aDpgjnVp2tY, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:0HIpVOzrDwqiI5wP56soMK","Mohammed Irfan, Arijit Singh, Saim Bhat","spotify:album:1WwkojG9sjMSrFVz4D51W0","Ultimate Love Songs - Arijit Singh","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","2020-05-19","https://i.scdn.co/image/ab67616d0000b2731aa5adad8593923dcdf1a7d0","1","9","329851","https://p.scdn.co/mp3-preview/0b5e73aafa22dde55d6268799e45499c66173f9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INS181101313","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:17:58Z","hindi pop,bollywood,hindi pop,bollywood,desi,bangla pop,hindi pop,bollywood","0.464","0.481","0","-6.391","0","0.033","0.787","0.00000109","0.127","0.263","199.765","4","","T-Series","C 2020 Super Cassettes Industries Private Limited, P 2020 Super Cassettes Industries Private Limited"
"spotify:track:1SdMHj6tJp2YZ5INflJR1T","Aye Khuda","spotify:artist:1W8O3VMkoLKHlnPtojVU8l, spotify:artist:0HIpVOzrDwqiI5wP56soMK, spotify:artist:09UmIX92EUH9hAK4bxvHx6","Kshitij Tarey, Saim Bhat, Mithoon","spotify:album:1vUKBCizrhzhTZ8tgqL8db","Murder 2","spotify:artist:4auibajZua9Ld8sPMOmPYc, spotify:artist:4RnBspN4LbLQPAiKuSvOdV, spotify:artist:09UmIX92EUH9hAK4bxvHx6","Harshit Saxena, Sangeet & Siddharth, Mithoon","2011-05-30","https://i.scdn.co/image/ab67616d0000b2732432edc97b465e6db54d356b","1","3","410459","https://p.scdn.co/mp3-preview/afb83ff67931cdfeef4c28d53664e93eb4fc7ddc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","INS181101312","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-09-28T03:18:55Z","sufi,marathi pop,bollywood,qawwali,hindi pop,bollywood,bollywood,hindi pop,desi","0.614","0.653","8","-5.056","0","0.036","0.353","0.00000114","0.113","0.379","103.989","4","","T-Series","C 2011 Super Cassettes Industries Private Limited, P 2011 Super Cassettes Industries Private Limited"
"spotify:track:3Kl8p2PxVf8eAayLwTxOIm","Dil Ibaadat","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp","Pritam, KK","spotify:album:3Ip9JCpT1IF9GvhAxzufTH","Tum Mile (Original Motion Picture Soundtrack)","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2009-09-08","https://i.scdn.co/image/ab67616d0000b273bcb8ec035de7b2dda0f74660","1","2","329386","https://p.scdn.co/mp3-preview/e826204e38ff23fe52818d1cd230404ab1659d5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","INS170900405","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-10-11T03:12:45Z","bollywood,hindi pop,desi,sufi,bollywood,hindi pop,desi","0.59","0.859","2","-5.005","0","0.0416","0.633","0","0.286","0.634","149.966","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2009 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:1OEmd2iXU8pWG7CrKNpGUg","Humdard","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","spotify:album:3EkmvTqyKrnMw1WiVpsSwF","Ek Villain","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-05-28","https://i.scdn.co/image/ab67616d0000b273a2ef89ae0f8d1848081c1449","1","5","260590","https://p.scdn.co/mp3-preview/380039e0dd0258317ebf486f27f49ae62f375ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","INS181401039","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-10-27T02:14:03Z","hindi pop,bollywood,desi,bangla pop","0.572","0.541","5","-6.45","1","0.0245","0.759","0","0.111","0.266","87.01","4","","T-Series","C 2014 Super Cassettes Industries Private Limited, P 2014 Super Cassettes Industries Private Limited"
"spotify:track:18YHbIhrleUkKKj2DvEp79","Zara Sa","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp","Pritam, KK","spotify:album:153Qw0xXJqhEFxvm9M9rE8","Jannat (Original Motion Picture Soundtrack)","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2008-03-07","https://i.scdn.co/image/ab67616d0000b273727d531901c07a499498c544","1","1","303680","https://p.scdn.co/mp3-preview/55e0ad7728aad9a49acc44da980fc7ddd3dff9f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","INS170800033","spotify:user:22nvy1hu32y53lb1jsj6n0qom","2022-10-27T02:14:18Z","bollywood,hindi pop,desi,sufi,bollywood,hindi pop,desi","0.468","0.91","11","-3.057","0","0.051","0.12","0.000304","0.271","0.694","163.842","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2008 Sony Music Entertainment India Pvt. Ltd."
