"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4BJI0anpEdv4uUw3fUXYpr","Wake Up Sid!","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:1SJOL9HJ08YOn92lFcYf8a, spotify:artist:1KIKn2xA1mgC7uJTcS1hEU","Shankar-Ehsaan-Loy, Shankar Mahadevan, Loy Mendonsa","spotify:album:1fzE65RP7Gyhi8hdOv8eRQ","Wake Up Sid (Original Motion Picture Soundtrack)","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:7HCqGPJcQTyGJ2yqntbuyr","Shankar-Ehsaan-Loy, Amit Trivedi","2009-08-21","https://i.scdn.co/image/ab67616d0000b27302ef23e492fb485d08068845","1","1","231240","https://p.scdn.co/mp3-preview/8146eea4b539fe65d9dcc8aecde7c5c3090e0032?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","INS170900325","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-03-24T10:15:21Z","bollywood,sufi,desi,hindi pop,bollywood,marathi pop,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop,bollywood,desi,hindi pop","0.72","0.651","2","-6.844","1","0.0346","0.0774","0","0.11","0.824","128.023","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2009 Sony Music Entertainment India Pvt.Ltd"
"spotify:track:09e9vNgSdOspJasGIp6kLp","Subha Ho Gayi Mamu - From ""Munnabhai MBBS""","spotify:artist:5cB4d4jPYjMT326sjihQ4m","Shaan","spotify:album:6Pg0GtMCJ4mwaUB0r4U8GA","Munnabhai MBBS (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2003-01-01","https://i.scdn.co/image/ab67616d0000b273519da3dffcedfe12cd1230bb","1","5","241400","","false","42","INUM70500880","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2024-04-30T05:48:24Z","bollywood,hindi pop,desi,bangla pop","0.871","0.362","11","-14.1","0","0.0545","0.12","0.00000108","0.305","0.456","104.002","4","","Universal Music India Pvt Ltd.","C © 2003 Universal Music India Pvt. Ltd., P ℗ 2003 Universal Music India Pvt. Ltd."
"spotify:track:723xQva0yBF7M6K3nDAG8R","Sooraj Ki Baahon Mein","spotify:artist:2DwWEmeVaWxwkjbnyPlNZT, spotify:artist:2j9QVMZlqIj4Cb9UISBrXK, spotify:artist:1KIKn2xA1mgC7uJTcS1hEU","Dominique Cerejo, Clinton Cerejo, Loy Mendonsa","spotify:album:6Baavsh6HfNka1IyvPrr24","Zindagi Na Milegi Dobara","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2011-06-06","https://i.scdn.co/image/ab67616d0000b2730acb5a72549287bf33b51b71","1","10","202919","https://p.scdn.co/mp3-preview/87e039f209a542235a87abced2a22dc821cb2f00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","INS181101720","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-03-24T15:50:03Z","bollywood,desi,hindi pop,bollywood,hindi pop,bollywood,desi,hindi pop","0.855","0.553","11","-6.52","1","0.0331","0.19","0.00000519","0.0942","0.874","124.922","4","","T-Series","C 2011 Super Cassettes Industries Private Limited, P 2011 Super Cassettes Industries Private Limited"
"spotify:track:20tJvBAqgF3sCXxb7FEjwT","I Am the Best","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ, spotify:artist:2ZRrPOjBIWoKK5rHedLijj","Jatin-Lalit, Abhijeet","spotify:album:1s4wHsTNCTRV1gJnLelbOV","Phir Bhi Dil Hai Hindustani (Original Motion Picture Soundtrack)","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ","Jatin-Lalit","1999-12-05","https://i.scdn.co/image/ab67616d0000b273ea07c69b16f11f7e0c09c9e1","1","3","257880","https://p.scdn.co/mp3-preview/62411c673ec4aad1d2cee3bfe375475a979b2237?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","INS179900106","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-03-28T06:03:53Z","bollywood,hindi pop,desi,bollywood,hindi pop","0.719","0.931","1","-5.153","0","0.046","0.142","0.00000104","0.339","0.944","100.084","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 1999 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:1dZuiEX0EjvQai3N7BlUmT","Yeh Dil Deewana","spotify:artist:1dVygo6tRFXC8CSWURQJq2, spotify:artist:7J1dPh3Yjs0aIhQHbBfNQP, spotify:artist:1SJOL9HJ08YOn92lFcYf8a","Sonu Nigam, Hema Sardesai, Shankar Mahadevan","spotify:album:5SKotVYCyEbrc2efbRMcsJ","Pardes (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt","Nadeem Shravan","1997-08-08","https://i.scdn.co/image/ab67616d0000b2739decf911fd878b73390db3a4","1","9","426400","https://p.scdn.co/mp3-preview/f22a8e1a9695386a0357ca8673d921c17325bd94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INT109700003","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2024-06-01T04:17:58Z","kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bollywood,bollywood,marathi pop,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop","0.776","0.5","0","-12.22","1","0.0418","0.201","0.00189","0.0538","0.232","109.981","4","","Tips Industries Ltd","C © 1997 Tips Industries Ltd. Under Exclusive License to ADA/Warner Music, P ℗ 1997 Tips Industries Ltd. Under Exclusive License to ADA/Warner Music"
"spotify:track:0YmuNYaG8irr6RJKnoU6ke","Bachna Ae Hasinon Lo Main Aa Gaya","spotify:artist:0TI9Dt5CvgWoNDsbQoFUZn, spotify:artist:0GF4shudTAFv8ak9eWdd4Y","DJ Tarun Makhijani Aka DJ T, Kishore Kumar","spotify:album:69uIb31UjUhiimgJHBbk6C","Bollywood Party Remix - Vol.1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-08-01","https://i.scdn.co/image/ab67616d0000b2739da1c8fbfd0a6dd012f0f97d","1","7","184153","https://p.scdn.co/mp3-preview/08c0a50952858105770636a572ee304b9122e05d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INH102213154","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2024-05-21T12:30:08Z","bangla pop,ghazal,hindi pop,bollywood","0.719","0.908","11","-5.873","0","0.0583","0.00804","0.00701","0.0531","0.908","130.003","4","","Saregama India Ltd","C 2022 Saregama India Ltd, P 2022 Saregama India Ltd"
"spotify:track:12eA8kd2uD1zoN4jdtbYn4","Haanikaarak Bapu","spotify:artist:0rPXtq1DFqaWtWxL70d28q, spotify:artist:0cGHc87UV3xdjlFlS2xEeH, spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Sartaz Khan Barna, Sarwar Khan, Pritam","spotify:album:354TJOapvmkc4JCxi9vJHh","Dangal (Original Motion Picture Soundtrack)","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2016-12-14","https://i.scdn.co/image/ab67616d0000b273f47f8b461b0843859d654a70","1","1","262857","","false","44","INZ031401877","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2024-08-09T17:14:53Z","bollywood,hindi pop,desi,sufi","0.587","0.837","7","-6.178","1","0.106","0.15","0.000482","0.0578","0.805","104.892","4","","Zee Music Company","C © 2016 Zee Music Company, P ℗ 2016 Zee Music Company"
"spotify:track:4NmWv6PEGEAmorN5UN9fRo","Ajj Din Chadheya","spotify:artist:3OLGltG8UPIea8sA4w0yg0, spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Rahat Fateh Ali Khan, Pritam","spotify:album:2yoQE2XBnwdUyoOkoprTfT","Love Aaj Kal (Original Motion Picture Soundtrack)","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2009-07-31","https://i.scdn.co/image/ab67616d0000b273b47eb88571640ed71dd2fd47","1","1","315013","https://p.scdn.co/mp3-preview/31220dbc188ef55c717efc26c819f43a1d18738e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBSGZ0900022","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-03-24T10:06:43Z","sufi,qawwali,bollywood,hindi pop,desi,ghazal,bollywood,hindi pop,desi,sufi","0.53","0.701","9","-4.54","1","0.0823","0.536","0.00000809","0.118","0.818","171.856","4","","Eros Now Music","C (C) 2009 Eros Now Music, P (P) 2009 Eros Now Music"
"spotify:track:11ipwX6rA4f5KMTYB7QFXj","Main Aisa Kyon Hoon","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:5cB4d4jPYjMT326sjihQ4m","Shankar-Ehsaan-Loy, Shaan","spotify:album:2U02MTp5MJnqV54xsJOVIe","Lakshya (Original Motion Picture Soundtrack)","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2004-04-26","https://i.scdn.co/image/ab67616d0000b273441b53722d32e65078a35a14","1","1","274266","https://p.scdn.co/mp3-preview/ab042e82babcd829a5a4ead581e965440dc4051a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","INS170400017","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-12-31T18:30:58Z","bollywood,sufi,desi,hindi pop,bollywood,hindi pop,desi,bangla pop","0.809","0.509","0","-4.856","1","0.0391","0.031","0","0.175","0.921","95.993","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2004 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:6WediUhXDfm8FR3wlM0r3G","Subha Hone Na De","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:5T2I75UlGBcWd5nVyfmL13, spotify:artist:1Jt7JB3WIWaANzwHoybsVn","Pritam, Mika Singh, Shefali Alvares","spotify:album:1Ekdlu676aj6F9lDUcl7ht","Desi Boyz","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2011-10-21","https://i.scdn.co/image/ab67616d0000b273daa89593cc2cde9651665d03","1","2","288696","https://p.scdn.co/mp3-preview/c2456d0af95619234a12805774747b2bf88974c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","INS181103805","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-03-24T12:38:54Z","bollywood,hindi pop,desi,sufi,bollywood,desi,hindi pop,bollywood,desi,hindi pop","0.727","0.9","8","-4.529","1","0.0452","0.0805","0.0464","0.154","0.505","131.97","4","","T-Series","C 2011 Super Cassettes Industries Private Limited, P 2011 Super Cassettes Industries Private Limited"
"spotify:track:3Uv8BQFN3bQfhkregyMbnx","My Dil Goes Mmmm","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb, spotify:artist:5cB4d4jPYjMT326sjihQ4m, spotify:artist:6dgPKPKtpOXxPpMe8STn1N, spotify:artist:5kPOMQZvgkAEnRZqwn9SYQ","Vishal-Shekhar, Shaan, Gayatri Iyer, Jaideep Sahni","spotify:album:2IENY924rGfG14TIQIdZFr","Salaam Namaste","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2005-08-03","https://i.scdn.co/image/ab67616d0000b2733407f760b091d7b668ad9d22","1","2","452832","https://p.scdn.co/mp3-preview/e8b33d5d0c1f32cc5f82056f4d7975610da3f6a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INY090500041","spotify:user:71qh0d2u9dhfb24tw0lupnj8c","2023-03-24T10:10:13Z","bollywood,desi,hindi pop,bollywood,hindi pop,desi,bangla pop,bollywood,bollywood,desi,hindi pop,sufi","0.693","0.797","6","-7.392","0","0.0704","0.343","0.00125","0.0673","0.706","90.997","4","","YRF Music","C (C) 2005 YRF Music, P (P) 2005 YRF Music"
