"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2pFlOIQGG1cJjeDqqtdV5w","I Don't Care If There's Cursing","spotify:artist:57kIMCLPgkzQlXjblX7XXP","Phosphorescent","spotify:album:2w8mYAJA68MXGOjQQM8nbd","Here's To Taking It Easy","spotify:artist:57kIMCLPgkzQlXjblX7XXP","Phosphorescent","2010-05-11","https://i.scdn.co/image/ab67616d0000b273531cc65c3c267c60cd97b65e","1","5","295000","https://p.scdn.co/mp3-preview/ca3b941eb01deb4026a43f3e4d192c0de6c8484e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USJ5G1032505","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-09-02T17:18:46Z","chamber pop","0.396","0.663","5","-9.422","1","0.0329","0.153","0.00475","0.0527","0.739","111.469","4","","Dead Oceans","C 2010 Dead Oceans, P 2010 Dead Oceans"
"spotify:track:1YHG99QqAa4brm7TBvPwg5","Kaise Mujhe-Tum Ho (From ""T-Series Mixtape"")","spotify:artist:3yMmYEklQ7gLOZXEFNd3xr, spotify:artist:4Z0t0LHjOjFRiv0mjBw206","Palak Muchhal, Aditya Narayan","spotify:album:3OHC6XD29wXWADtAOP2geV","A.R. Rahman: Love Songs","spotify:artist:1mYsTxnqsietFxj1OgoGbG","A.R. Rahman","2018-02-06","https://i.scdn.co/image/ab67616d0000b273c0ea557a5841a2b298c126ce","1","5","399813","https://p.scdn.co/mp3-preview/cc982b2a6221c0eb805c199d060ba27dfd3c3f65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","INS181701479","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","bollywood,hindi pop,gujarati garba,desi,bollywood,hindi pop","0.329","0.265","0","-10.195","1","0.0304","0.916","0.0022","0.107","0.142","181.53","4","","T-Series","C 2018 Super Cassettes Industries Private Limited, P 2018 Super Cassettes Industries Private Limited"
"spotify:track:4B0JvthVoAAuygILe3n4Bs","What Do You Mean?","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de","1","3","205680","","false","84","USUM71511919","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","","0.845","0.567","5","-8.118","0","0.0956","0.59","0.00142","0.0811","0.793","125.02","4","","RBMG/Def Jam","C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:0vNBHk5zTK31Ld8t4hgaai","Jaane Bhi De","spotify:artist:1SJOL9HJ08YOn92lFcYf8a, spotify:artist:6MRzB5b9YzkH4u301606hl","Shankar Mahadevan, Loy","spotify:album:6wmAbHvVXPP8IABlogT5Sz","Heyy Babyy","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2007-07-17","https://i.scdn.co/image/ab67616d0000b273d8e0dad0ae691de032b61894","1","5","231468","https://p.scdn.co/mp3-preview/8be8f3ef6863f8479985859d5e10ce9ae71accf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","INS180704097","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:18:12Z","bollywood,marathi pop,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop,bollywood","0.751","0.915","2","-6.739","1","0.0494","0.171","0","0.12","0.805","105.017","4","","T-Series","C 2007 Super Cassettes Industries Private Limited, P 2007 Super Cassettes Industries Private Limited"
"spotify:track:6TwfdLbaxTKzQi3AgsZNzx","Daylight","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:7i1Ej2Ix9aIiLKqhNwAB2l","Overexposed (Deluxe)","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739d41d73f973cb817462e068a","1","3","225306","","false","66","USUM71204771","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","pop","0.657","0.679","2","-5.511","1","0.0269","0.00246","0","0.211","0.331","120.007","4","","Interscope Records*","C © 2012 A&M/Octone Records, P ℗ 2012 Interscope Records"
"spotify:track:0HPD5WQqrq7wPWR7P7Dw1i","TiK ToK","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","spotify:album:6fpLLJsDSSAlToEDW2jv4F","Animal (Expanded Edition)","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","2010-01-01","https://i.scdn.co/image/ab67616d0000b273142e5c0e611841b87c2dc533","1","2","199693","https://p.scdn.co/mp3-preview/ea95bec21bd6c4979cc91f5d5528b533d879905c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USRC10900433","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-01-01T14:31:20Z","","0.755","0.837","2","-2.718","0","0.142","0.0991","0","0.289","0.714","120.028","4","","RCA Records Label","P (P) 2010 RCA Records, a division of Sony Music Entertainment"
"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","Let Me Love You","spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:1uNFoZAHBGtllmzznpCI3s","DJ Snake, Justin Bieber","spotify:album:02sEJTj1sye1JaqxqpcSCp","Encore","spotify:artist:540vIaP2JwjQb9dm3aArA4","DJ Snake","2016-08-05","https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc","1","13","205946","","false","88","QMZSY1600015","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","","0.475","0.715","8","-5.371","1","0.058","0.0863","0.0000267","0.135","0.159","199.892","4","","DJ Snake Def Jam","C © 2016 DJ Snake Music, under exclusive license to Interscope Records, P ℗ 2016 DJ Snake Music, under exclusive license to Interscope Records"
"spotify:track:3lBRNqXjPp2j3JMTCXDTNO","Best Thing I Never Had","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:1gIC63gC3B7o7FfpPACZQJ","4","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2011-06-24","https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd","1","12","253746","https://p.scdn.co/mp3-preview/53e77e774e00bf01be5be21d629fb06d00740766?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM11102904","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","","0.546","0.649","6","-4.056","1","0.0324","0.143","0.0000155","0.0894","0.298","99.05","4","","Parkwood Entertainment/Columbia","P (P) 2011, 2012 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2XAQw5pC8vsJbz8Hc619RX","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:3qAH4f7C9R8cO2v92pG7bG","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","2","0","","false","0","","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","champeta","0.478","0.846","2","-4.799","1","0.146","0.367","0","0.0803","0.758","149.708","3","","",""
"spotify:track:6RUKPb4LETWmmr3iAEQktW","Something Just Like This","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","The Chainsmokers, Coldplay","spotify:album:4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2017-04-07","https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94","1","5","247160","https://p.scdn.co/mp3-preview/4e117abe76700eb13e9e0557fa2d9c44b565b9da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USQX91700278","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2021-01-18T07:17:30Z","","0.617","0.635","11","-6.769","0","0.0317","0.0498","0.0000144","0.164","0.446","103.019","4","","Disruptor Records/Columbia","P (P) 2017 Disruptor Records/Columbia Records"
