"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4XTgFBxBHN6var1BzAgE1m","Jhol","spotify:artist:3scNK8e4mqnP6Rb8a3lwZY, spotify:artist:1nCZUpBIcyOxufOx0lPeIW","Maanu, Annural Khalid","spotify:album:7grtFo2pj5wwRTM7c6NI9y","Jhol","spotify:artist:3scNK8e4mqnP6Rb8a3lwZY, spotify:artist:1nCZUpBIcyOxufOx0lPeIW","Maanu, Annural Khalid","2024-06-14","https://i.scdn.co/image/ab67616d0000b2731344800458a38197bfc721f3","1","1","265817","https://p.scdn.co/mp3-preview/489c0cc23b891742c1eb81b67f549643836ef315?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","US38Y2412656","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-02-10T09:40:53Z","indian indie,desi,hindi indie,indian indie,desi,hindi indie","0.485","0.481","7","-8.145","0","0.0852","0.596","0","0.34","0.296","155.368","4","","Giraffe Music","C 2024 Giraffe Music under exclusive license to Warner Music South Asia, P 2024 Giraffe Music under exclusive license to Warner Music South Asia"
"spotify:track:5ThyDv6aRVU8AH4vXQNldF","Finding Her","spotify:artist:2IKfr1JgPRXmXKAWwrABc6, spotify:artist:1zD9gVg8wPOmVfYxTjMHaT, spotify:artist:29S4JzoFUP1MCyMgKd83zM","Kushagra, Bharath, Saaheal","spotify:album:69xcXWqK1aN73KgVA2i3Zq","Finding Her","spotify:artist:2IKfr1JgPRXmXKAWwrABc6, spotify:artist:1zD9gVg8wPOmVfYxTjMHaT, spotify:artist:29S4JzoFUP1MCyMgKd83zM","Kushagra, Bharath, Saaheal","2025-01-29","https://i.scdn.co/image/ab67616d0000b27383141000ee8ce3b893a0b425","1","1","207000","https://p.scdn.co/mp3-preview/e28e241e420c8f545aca4f2c148f370377d9fe25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","US38Y2435162","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-01-30T06:11:07Z","hindi indie,indian indie,desi pop,indian indie,hindi indie,hindi indie","0.558","0.378","0","-6.419","1","0.0526","0.894","0.00000232","0.0799","0.44","170.195","3","","EYP Creations","C 2025 UR Debut under exclusive license to Warner Music India, P 2025 UR Debut under exclusive license to Warner Music India"
"spotify:track:6Y9PQMcP2PwspzZvKbMG6w","Dariya","spotify:artist:0AHysaqWv1LHwqk5P5lTMX","Himonshu Parikh","spotify:album:2D2JEphFbPsxbthC89eH1t","CIRCLES","spotify:artist:0AHysaqWv1LHwqk5P5lTMX","Himonshu Parikh","2025-03-25","https://i.scdn.co/image/ab67616d0000b27358f4f823cfc84ad59a3fcce7","1","1","172352","https://p.scdn.co/mp3-preview/9a9df0234e3decebf51761ea298023c1ff318b80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","INW262501825","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-03-25T10:44:26Z","indian indie,hindi indie","0.689","0.49","8","-8.441","0","0.07","0.53","0.0244","0.0696","0.836","170.014","4","","Warner Music India","C © 2025 Warner Music India, P ℗ 2025 Warner Music India"
"spotify:track:7iHlzTnuXuolLgt6ZWoAfg","Marham","spotify:artist:3dN9MQpjIyNxyeRfz4EDZe, spotify:artist:3ozYqVCLohfpXIhalkhM8D","Rochak Kohli, Aditya Rikhari","spotify:album:2IKWkuqPoCCqtduEJmE8tR","Marham","spotify:artist:3dN9MQpjIyNxyeRfz4EDZe, spotify:artist:3ozYqVCLohfpXIhalkhM8D","Rochak Kohli, Aditya Rikhari","2025-02-21","https://i.scdn.co/image/ab67616d0000b273bc98190edf344c78cc20818b","1","1","152258","https://p.scdn.co/mp3-preview/2cb64b7d6a77421f596357a0da8f2bfaaa1530ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","INW262500147","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-02-21T07:25:58Z","bollywood,hindi pop,desi,hindi indie,indian indie,desi pop","0.729","0.46","7","-9.605","1","0.113","0.54","0.00000733","0.0957","0.518","93.006","4","","Warner Music India","C © 2025 Warner Music India, P ℗ 2025 Warner Music India"
"spotify:track:2wZvpX0owdzYg8e8HSfIgV","Judai","spotify:artist:7GquqOIWZX7FNjsUYNjOKy, spotify:artist:2URzIJH7QfPgMAEPErd0cC, spotify:artist:485dW6YyuxW3kpnWmuFnnv","Ali & Shjr, Ali Raza, Shajjar Hussain","spotify:album:3IZe3XakLgSYMVsVcF4XlX","Judai","spotify:artist:7GquqOIWZX7FNjsUYNjOKy, spotify:artist:2URzIJH7QfPgMAEPErd0cC, spotify:artist:485dW6YyuxW3kpnWmuFnnv","Ali & Shjr, Ali Raza, Shajjar Hussain","2025-04-22","https://i.scdn.co/image/ab67616d0000b27391d43ce9706fc7c020b5fcc2","1","1","180722","https://p.scdn.co/mp3-preview/7e54d572e7d64ce7acb4dec5503063365a606a3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","US38Y2504373","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-04-22T06:45:08Z","indian indie,hindi indie,indian indie,hindi indie,indian indie,hindi indie","0.557","0.373","0","-9.706","0","0.0419","0.779","0.00000457","0.107","0.305","110.371","5","","Giraffe Music","C 2025 Giraffe Music under exclusive license to Warner Music South Asia, P 2025 Giraffe Music under exclusive license to Warner Music South Asia"
"spotify:track:31RiqzKluljrXwwanZSD1c","Better With You","spotify:artist:2IKfr1JgPRXmXKAWwrABc6, spotify:artist:50v8c6DzqnysN9InIun5MA","Kushagra, Ansh4sure","spotify:album:4SLRZ2hzrapT1iMVOhFhJ3","Better With You","spotify:artist:2IKfr1JgPRXmXKAWwrABc6, spotify:artist:50v8c6DzqnysN9InIun5MA","Kushagra, Ansh4sure","2025-04-09","https://i.scdn.co/image/ab67616d0000b273f3f7c36080475e6d81adbc4f","1","1","174065","https://p.scdn.co/mp3-preview/c38ca77b76e540c7e6f802bd65555aac140547fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","US38Y2526743","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-04-09T06:58:46Z","hindi indie,indian indie,desi pop,desi hip hop,hindi hip hop","0.404","0.493","7","-5.283","0","0.0525","0.621","0.00000687","0.315","0.242","82.169","4","","EYP Creations","C 2025 UR Debut under exclusive license to Warner Music India, P 2025 UR Debut under exclusive license to Warner Music India"
"spotify:track:7As3z7YWrNvOQWFxFn7fGr","Aankhon (feat. Ankur Tewari)","spotify:artist:1OPqAyxsQc8mcRmoNBAnVk, spotify:artist:2k66ibJfgMigF5QWqUgLyR, spotify:artist:3CVXA5TAWpmfGPqyMqXpPb, spotify:artist:1ciT67XXpG2HOVsLQjKdv6","Dhvani Bhanushali, OAFF, Savera, Ankur Tewari","spotify:album:0kVVhVwwnvNnFV6Sntbldb","Aankhon (feat. Ankur Tewari)","spotify:artist:1OPqAyxsQc8mcRmoNBAnVk, spotify:artist:2k66ibJfgMigF5QWqUgLyR, spotify:artist:3CVXA5TAWpmfGPqyMqXpPb","Dhvani Bhanushali, OAFF, Savera","2025-04-29","https://i.scdn.co/image/ab67616d0000b2739ebf3391d989bc0a682770ac","1","1","153387","https://p.scdn.co/mp3-preview/96c4d9fb5fa018cf92ed12de8cca95e7b61be62e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","INW262505084","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-04-29T06:26:42Z","hindi pop,bollywood,desi pop,desi,indian indie,hindi indie,bollywood,hindi pop,desi,hindi indie,desi pop,indian indie,bollywood,hindi pop,desi,indian indie,hindi indie,hindi hip hop,desi hip hop","0.824","0.57","5","-6.105","0","0.0401","0.436","0.0197","0.18","0.836","123.97","4","","Warner Music India","C © 2025 Warner Music India, P ℗ 2025 Warner Music India"
"spotify:track:10woFQBx2lLrHTvh8rLBHG","Saza","spotify:artist:4uulqSsU6e7BdsYYos6kfS","Sheheryar Rehan","spotify:album:0Zybm7phKiGuSripA2hqDd","Saza","spotify:artist:4uulqSsU6e7BdsYYos6kfS","Sheheryar Rehan","2025-04-10","https://i.scdn.co/image/ab67616d0000b2737a8214e1b9237e1513b1eae1","1","1","187200","https://p.scdn.co/mp3-preview/ba47964c00cf5ef37cb5580e8f161671b600c615?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","US38Y2517989","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-04-10T06:18:20Z","","0.433","0.392","1","-10.454","1","0.0477","0.779","0","0.0846","0.389","76.565","4","","Giraffe Music","C 2025 Sheheryar Rehan under exclusive distribution to Warner Music South Asia, P 2025 Sheheryar Rehan under exclusive distribution to Warner Music South Asia"
"spotify:track:2JPvs4XNAiiLWWRYbbJrrj","Sitaron Ki Chaddar","spotify:artist:7o7GKafH7LeVDLVzl2kTsn, spotify:artist:0hNhFNb5UnSylTDv2uVkR5","Rabi Ahmed, Aahana Singh","spotify:album:48MlfnwLYWbFMiFT9Q4vce","Sitaron Ki Chaddar","spotify:artist:7o7GKafH7LeVDLVzl2kTsn, spotify:artist:0hNhFNb5UnSylTDv2uVkR5","Rabi Ahmed, Aahana Singh","2025-04-18","https://i.scdn.co/image/ab67616d0000b27311af62d73e9e98a966c09ae2","1","1","162000","https://p.scdn.co/mp3-preview/39011113375fdba0ef1e580d51efbd738dc95c25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","US38Y2528025","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-04-23T11:28:54Z","qawwali,sufi","0.676","0.36","2","-9.797","1","0.0383","0.938","0.0178","0.111","0.303","170.837","3","","Rabi Ahmed","C 2025 Rabi Ahmed, P 2025 Rabi Ahmed"
"spotify:track:1deiRYIJxWtk7DMDNjjgJO","Kab Aur Kaise","spotify:artist:2Qa5HYyDrPrArARMDJfDbJ","Bombay the Artist","spotify:album:0J3FZsjW6sQh4URtfzaYYU","Kab Aur Kaise","spotify:artist:2Qa5HYyDrPrArARMDJfDbJ","Bombay the Artist","2025-03-11","https://i.scdn.co/image/ab67616d0000b2732db352271372e811c3fe5ded","1","1","154105","https://p.scdn.co/mp3-preview/44c57dd7d794898aa1d151c6c7bbec4cb216e0ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","INW262501829","spotify:user:grw0nddxtsic1hn2o5mk7dlyd","2025-03-21T11:12:52Z","indian indie,hindi indie","0.608","0.171","8","-16.648","1","0.0273","0.801","0","0.15","0.474","94.912","4","","Warner Music India","C © 2025 Bombay the Artist under exclusive license to Warner Music India, P ℗ 2025 Bombay the Artist under exclusive license to Warner Music India"
