"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3cY7XoEFKPKmqkYbI5tfVE","Her on Top","spotify:artist:6DvUoSNHeBs6LKbpIYr032","Slow Sex Music","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","1","121232","https://p.scdn.co/mp3-preview/6d93ae56c732bb3a18a8c19f1b4bd7fb24a0d564?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","FRX762217924","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.57","0.305","9","-21.345","0","0.0426","0.816","0.878","0.133","0.228","145.996","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:66gPjxvtRv6gy17I9ijNHp","Silk Sheets","spotify:artist:6DvUoSNHeBs6LKbpIYr032","Slow Sex Music","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","2","121232","https://p.scdn.co/mp3-preview/23d4b8986c793c2687ca9d807cb6e3c7acd680c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FRX762217923","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.626","0.182","9","-20.582","0","0.0308","0.697","0.9","0.08","0.169","146.074","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:51HkqKswjOKQYOrZvkQAlN","Asian Zen Beats","spotify:artist:6YkRMvtdEJlpoIVHsu2NTn","Sex Music","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","3","121232","https://p.scdn.co/mp3-preview/f0f0f4102582cc475160477ec62ed46ded14528f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FRX762217925","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.725","0.13","7","-19.965","1","0.0443","0.913","0.635","0.111","0.217","146.012","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:2bPMCplZgZlJe36VCFEnui","Our Sexual Chemistry","spotify:artist:7u3tUo2D2NxdJvdJ4ldXyL","Tantric Massage","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","4","157058","https://p.scdn.co/mp3-preview/ec030c23cc86fa8ec65fae209d858c4d65143531?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FRX762217926","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.609","0.172","5","-20.537","0","0.0286","0.931","0.897","0.155","0.153","136.025","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:45A79Jd4JH609gIEEEjvtJ","Tantric Build","spotify:artist:7u3tUo2D2NxdJvdJ4ldXyL","Tantric Massage","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","5","151541","https://p.scdn.co/mp3-preview/674caaa6442a394597c4fb9aa0b848192389c11c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","FRX762217929","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.608","0.128","5","-26.071","0","0.0354","0.87","0.902","0.127","0.0916","116.819","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:3cmBbvANS6ub6FQWWu1mJY","Tonight Is Our Night","spotify:artist:6DvUoSNHeBs6LKbpIYr032","Slow Sex Music","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","6","157058","https://p.scdn.co/mp3-preview/d4cfa7076f68b5abf95cc8fc3923fe20d9d0c0c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","FRX762217920","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.645","0.151","1","-15.447","1","0.0275","0.741","0.9","0.166","0.157","136.024","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:0Q24HDiVZSCeTNyUD3Ipyx","Senses Match","spotify:artist:7u3tUo2D2NxdJvdJ4ldXyL","Tantric Massage","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","7","151541","https://p.scdn.co/mp3-preview/62f65e7ea5747ea8ea8a749c9e77801f985fe34c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","FRX762217928","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.705","0.0582","8","-23.84","1","0.0343","0.93","0.878","0.112","0.059","116.804","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:3qMieOaltRtxFlJqsAtG8O","Making Love","spotify:artist:6DvUoSNHeBs6LKbpIYr032","Slow Sex Music","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","8","152571","https://p.scdn.co/mp3-preview/d32ed798343069796ec14a00e5a77db94f4404fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","FRX762217921","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.669","0.129","7","-19.003","1","0.0323","0.622","0.909","0.265","0.145","140.041","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:5rykXMImIjCOLkmQNDtJYC","Tantric Beats","spotify:artist:6DvUoSNHeBs6LKbpIYr032","Slow Sex Music","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","9","126000","https://p.scdn.co/mp3-preview/5a7d82acacb24e9069102d517d251ccff396bc18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","FRX762217922","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.449","0.173","1","-18.935","0","0.0358","0.778","0.918","0.0893","0.231","69.95","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
"spotify:track:3fHKAHOfFqQklGw6AxKMdl","Slow and Steady","spotify:artist:7u3tUo2D2NxdJvdJ4ldXyL","Tantric Massage","spotify:album:4C2r0lW8ty6nElXqON7f17","Romance Music","spotify:artist:4raJlG4wnzkryIK0APjtbk","Tantric Sex Background Music Experts","2022-12-21","https://i.scdn.co/image/ab67616d0000b27386741bf5358dcfb72c131009","1","10","196323","https://p.scdn.co/mp3-preview/9cec27e500be3e361bff12339a58990779ee55c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","FRX762217927","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-05-23T09:08:08Z","","0.362","0.0962","6","-24.72","0","0.0298","0.948","0.941","0.0971","0.0386","108.804","4","","Mind Enhance Records","C 2022 Mind Enhance Records, P 2022 Mind Enhance Records"
