"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0ogMpxFiW2Laiaurm87qSx","Raat Bhar Sard Hava Chalti Rahi","spotify:artist:0yRC5n90spXG0d3aiDQ0vB","Gulzar","spotify:album:5EaGDGV9pZhrduNvpxLUoy","Gulzars Nazm Vol.1","spotify:artist:0yRC5n90spXG0d3aiDQ0vB","Gulzar","2012-12-05","https://i.scdn.co/image/ab67616d0000b273d2456106ef1cc6bf6a767db4","1","11","109253","https://p.scdn.co/mp3-preview/4fa086500cc78caf399fd0963c70fdb9a1552314?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","INH101203648","spotify:user:","2024-06-21T04:15:47Z","bollywood,ghazal,desi,hindi pop","0.609","0.384","10","-17.912","1","0.919","0.493","0","0.082","0.281","74.908","3","","Saregama","C 2012 Saregama India Ltd, P 2012 Saregama India Ltd"
"spotify:track:2qP0EM7GrXQjkDBaof3kMe","Raat Khamosh Hai","spotify:artist:2ijWbN5KykTYiBoVmhzCTU","Jagjit Singh","spotify:album:3j4PvVM2llPGFzvarUIEOX","Jagjit Singh Most Loved Ghazals in 2020","spotify:artist:2ijWbN5KykTYiBoVmhzCTU","Jagjit Singh","2020-07-17","https://i.scdn.co/image/ab67616d0000b273401df782d59a541d14cc0253","1","10","354920","","false","27","INUM70503669","spotify:user:","2024-06-21T04:15:47Z","ghazal,bhajan,qawwali,sufi,devotional","0.448","0.467","9","-10.669","1","0.0327","0.349","0.00407","0.186","0.325","169.929","4","","UME - Global Clearing House","C © 2020 UMG Recordings, Inc., P ℗ 2020 UMG Recordings, Inc. FP"
"spotify:track:02wf1NAQdIpe5S1NJYPwvB","Aise Kyun - Ghazal Version","spotify:artist:3cqeO3muWIW5uSmUDNCmyT, spotify:artist:6hzngLO20cX5IGqT0hVv1G, spotify:artist:2DFCHTDIA0t638a4mm37dK, spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Rekha Bhardwaj, Anurag Saikia, Raj Shekhar, Mismatched - Cast","spotify:album:0bPV8j4jfsKeoW5P3YQInX","Mismatched: Season 2 (Soundtrack from the Netflix Series)","spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Mismatched - Cast","2022-09-30","https://i.scdn.co/image/ab67616d0000b27390853ed444266d1d2bb55c28","1","4","329080","https://p.scdn.co/mp3-preview/d849f3a7e29a2a17ab2cb6561ffac15a38cff456?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QZ8BZ2201990","spotify:user:","2024-06-21T04:15:47Z","bollywood,ghazal,hindi pop,sufi,desi,hindi indie,bollywood,ghazal,indian indie,hindi pop,bollywood,hindi pop,desi,indian indie,hindi indie,ghazal,hindi pop","0.395","0.378","3","-9.743","1","0.0443","0.88","0.0879","0.105","0.286","152.204","4","","Netflix Music","C 2022 Netflix Music, LLC, P 2022 Netflix Music, LLC"
"spotify:track:7p87RATknowYjH1siFCC3P","Chaudhavi Shab","spotify:artist:5eWpthiGD66CLD4bQjvIBp, spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:7uvFUOwVvse3izyeVufnl9","Sanjay Leela Bhansali, Shreya Ghoshal, A.M. Turaz","spotify:album:6b2vHhEysVp1gXn7WMrBFy","Heeramandi (Original Motion Picture Soundtrack)","spotify:artist:5eWpthiGD66CLD4bQjvIBp","Sanjay Leela Bhansali","2024-04-29","https://i.scdn.co/image/ab67616d0000b273eca707a8e1ef2da9d1c68f31","1","4","243792","https://p.scdn.co/mp3-preview/f0befde28fa7641297cdb0a266282f51e7885c2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","INE182326504","spotify:user:","2024-06-21T04:15:47Z","gujarati garba,bollywood,desi,ghazal,hindi pop,bollywood,hindi pop,kannada pop,desi,marathi pop,sufi,bollywood,ghazal,hindi pop,desi","0.713","0.582","3","-7.992","1","0.0377","0.695","0","0.0718","0.701","114.987","4","","Bhansali Music","C 2024 Bhansali Music, P 2024 Bhansali Music"
"spotify:track:2kLyXN5vrarYElsU6XGIU6","Raat Bhar Dil Main Terey Khwab","spotify:artist:5diMmmNkRVfgUnXJrzXzjZ","Javed Bashir","spotify:album:0xAIXatpFLWRUVVVXwKWlv","Us Ki Marzi Hai Sab","spotify:artist:5diMmmNkRVfgUnXJrzXzjZ, spotify:artist:6MPNQn8MYzEc49T57wRFgo","Javed Bashir, Farhat Shahzad","2016-03-31","https://i.scdn.co/image/ab67616d0000b2734645ebf4001c18083d7a4977","1","7","340044","https://p.scdn.co/mp3-preview/d2b7b5de82cc2bcb58e58f406dbe3f209950d16e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","INH101600463","spotify:user:","2024-06-21T04:15:47Z","sufi,qawwali,bollywood,hindi pop,desi","0.679","0.258","1","-17.89","1","0.0328","0.66","0.00215","0.112","0.413","111.988","3","","Saregama","C 2016 Saregama India Ltd, P 2016 Saregama India Ltd"
"spotify:track:15aFp4GkPuHOhRBeHgU2ix","Chandni Raat","spotify:artist:3NegWDGp038A3FIi3gSYzl","Ali Sethi","spotify:album:2N5srDsaz5fMLlazLTtAaY","Chandni Raat","spotify:artist:3NegWDGp038A3FIi3gSYzl","Ali Sethi","2019-03-07","https://i.scdn.co/image/ab67616d0000b27328e081a4f9b83ec68960a534","1","1","225123","","false","0","QMFME1913277","spotify:user:","2024-06-21T04:15:47Z","ghazal,sufi,qawwali,desi,hindi indie,indian indie,hindi pop","0.526","0.164","3","-11.447","1","0.0291","0.952","0.0000982","0.26","0.516","89.699","3","","Ali Sethi","C (C) 2019 Ali Sethi, P (P) 2019 Ali Sethi"
"spotify:track:70dJEYGVeZjaj9OlLEfpCS","Aapki Yaad Aati Rahi Raat Bhar","spotify:artist:4psVmgSgmjHIBM7MZuVQyY","Chhaya Ganguli","spotify:album:5BzHvEEPToMtFbF4xnToKE","Gaman","spotify:artist:7CaFdVY2rhLpErUD3vQsPh, spotify:artist:49hZuBcvDpNvAUZwGHa7Xk, spotify:artist:1pR9bUEN6cP3xrpxRdWf3V","Jaidev, Makhdoom Mohiuddin, Shahryar","1978-01-01","https://i.scdn.co/image/ab67616d0000b27313c4bb4efe784aa7d8065f62","1","2","302986","https://p.scdn.co/mp3-preview/ec8f7de42f2df591b5e25f927be8a8f069663163?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","INH109341550","spotify:user:","2024-06-21T04:15:47Z","ghazal,qawwali,sufi","0.409","0.288","5","-11.871","0","0.0343","0.978","0","0.213","0.33","133.173","4","","Saregama","C 1978 Saregama India Ltd, P 1978 Saregama India Ltd"
"spotify:track:2a0Tf1ljh7ufNajPB5uW1I","Raat Khamosh","spotify:artist:4xd7mLI7urqrxELaXhAvzw, spotify:artist:4nJ0kto93jDLHQKmpGeYS8","Shekhar Ravjiani, Anvita Dutt","spotify:album:4n9Q5SXsHl7mBhORFxGhyt","Raat Khamosh","spotify:artist:4xd7mLI7urqrxELaXhAvzw, spotify:artist:4nJ0kto93jDLHQKmpGeYS8","Shekhar Ravjiani, Anvita Dutt","2024-06-21","https://i.scdn.co/image/ab67616d0000b273fb68332785a4c38d9378c2a0","1","1","269571","https://p.scdn.co/mp3-preview/98b54d04d3cc9268b6db70d50ce51ef220fb6fe2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","QM6N22494711","spotify:user:","2024-06-21T04:15:47Z","bollywood,hindi pop,desi,bollywood","0.293","0.154","3","-17.454","0","0.0335","0.933","0.0869","0.108","0.162","139.246","4","","Ggaruda Music Pvt. Ltd.","C (C) 2024 Ggaruda Music Pvt. Ltd, P (P) 2024 Ggaruda Music Pvt. Ltd"
"spotify:track:4fqfTWUwlZ2HoQzDHfStr1","Ishq Ke Shole Ko Bhadkao","spotify:artist:2ijWbN5KykTYiBoVmhzCTU","Jagjit Singh","spotify:album:12yzM4iznX5mCw1ntAoDd9","Kahkashan -Tv Serial","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1990-12-31","https://i.scdn.co/image/ab67616d0000b27369d47d43d812a9da086e48cb","1","13","238315","https://p.scdn.co/mp3-preview/3c141e0767c9bbb4b22da89c4af56efe9a691448?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","INH100273030","spotify:user:","2024-06-21T04:15:47Z","ghazal,bhajan,qawwali,sufi,devotional","0.464","0.31","0","-11.887","0","0.0304","0.959","0.00192","0.125","0.315","161.656","4","","Saregama","C 1990 Saregama India Ltd, P 1990 Saregama India Ltd"
"spotify:track:7A5AXwJZ6DRVSGgHk82ww6","Chan Kithan","spotify:artist:3NegWDGp038A3FIi3gSYzl","Ali Sethi","spotify:album:3uT8TZPflh9SQBQw7tZoeH","Chan Kithan","spotify:artist:3NegWDGp038A3FIi3gSYzl","Ali Sethi","2019-05-13","https://i.scdn.co/image/ab67616d0000b273453f1394414ae19039a2ee37","1","1","233012","","false","0","QMFME1913249","spotify:user:","2024-06-21T04:15:47Z","ghazal,sufi,qawwali,desi,hindi indie,indian indie,hindi pop","0.304","0.34","3","-10.029","1","0.0367","0.961","0.231","0.218","0.298","175.991","4","","Ali Sethi","C (C) 2019 Ali Sethi, P (P) 2019 Ali Sethi"
