"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5iCY0TXNImK4hyKfcplQsg","Baarishein","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","spotify:album:4ysOhipyMXKstywus51VXS","Baarishein","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","2018-01-12","https://i.scdn.co/image/ab67616d0000b27361694f071d402a10931d671e","1","1","207309","","false","1","TCADK1712757","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:33:33Z","indian indie,hindi indie,hindi pop","0.475","0.124","2","-9.463","1","0.0444","0.926","0","0.0972","0.19","94.42","4","","Anuv Jain","C 2018 Anuv Jain, P 2018 Anuv Jain"
"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Agar Tum Saath Ho (From ""Tamasha"")","spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Alka Yagnik, Arijit Singh","spotify:album:5Wm1nhxZqx7i0Hp6ZBqe9T","Love Forever With Arijit Singh","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","2017-06-07","https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389","1","14","341054","https://p.scdn.co/mp3-preview/337567e59bd647a7294a8c0afefa9ccf3e8a6d27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","INS181501796","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:33:36Z","bollywood,hindi pop,desi,hindi pop,bollywood,desi,bangla pop","0.562","0.519","3","-8.744","1","0.0326","0.557","0.000268","0.172","0.415","122.925","4","","T-Series","C 2017 Super Cassettes Industries Private Limited, P 2017 Super Cassettes Industries Private Limited"
"spotify:track:0xkGTPTijMU84dtHr3KQQi","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:7lF34sP6HtRAL7VEMvYHff","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","3","0","","false","0","","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:33:38Z","champeta","0.417","0.433","4","-8.958","1","0.0415","0.0726","0","0.123","0.207","169.92","4","","",""
"spotify:track:1smFN2CLqGROu0J0UyvDfL","Shayad","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:6IXfWhC7omotM4lt0ROmEr","Love Aaj Kal (Original Motion Picture Soundtrack)","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2020-02-14","https://i.scdn.co/image/ab67616d0000b273095191f6b96fd9eff585befc","1","1","247941","https://p.scdn.co/mp3-preview/92655599f1fc777c0b364b328d096b85bd74ef49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","INS172000162","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:33:40Z","bollywood,hindi pop,desi,sufi,hindi pop,bollywood,desi,bangla pop","0.483","0.468","8","-7.642","1","0.0341","0.784","0","0.152","0.319","135.875","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2020 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:1NX33DecZrq4ZUGDc47AfN","Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","spotify:album:1WwkojG9sjMSrFVz4D51W0","Ultimate Love Songs - Arijit Singh","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","2020-05-19","https://i.scdn.co/image/ab67616d0000b2731aa5adad8593923dcdf1a7d0","1","8","264805","https://p.scdn.co/mp3-preview/a82810eb7a560770659cbe750ee8613efc0c9b84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INS181800276","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:33:45Z","hindi pop,bollywood,desi,bangla pop","0.566","0.541","10","-5.525","1","0.0306","0.341","0.00000445","0.102","0.31","83.939","4","","T-Series","C 2020 Super Cassettes Industries Private Limited, P 2020 Super Cassettes Industries Private Limited"
"spotify:track:3E424W0IJS3ypZ4YOxE0Jn","Kahin To","spotify:artist:281Vp9LDrWkHMHQzfQHWCt, spotify:artist:0myVJmNOHZ7v7g8JVWGw8H","Rashid Ali, Vasundhara Das","spotify:album:7J5iE51Mk97Mf0BjjwYXUZ","Jaane Tu... Ya Jaane Na","spotify:artist:1mYsTxnqsietFxj1OgoGbG","A.R. Rahman","2008-05-21","https://i.scdn.co/image/ab67616d0000b273abf91851997179d195afab5f","1","6","303206","https://p.scdn.co/mp3-preview/eff34c808d60068b002f45f8be632b11a0435748?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","INS180804914","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:33:56Z","bollywood,hindi pop,bollywood,desi","0.61","0.492","10","-7.55","1","0.0261","0.334","0.0000063","0.0979","0.165","90.984","4","","T-Series","C 2008 Super Cassettes Industries Private Limited, P 2008 Super Cassettes Industries Private Limited"
"spotify:track:3dQjCswDedsHNxdaOhcfiz","Aahatein","spotify:artist:0LSPREIgGMZXCuKVel7LVD, spotify:artist:19LIHDDSHBD5NyYHI3gpzB, spotify:artist:7HCqGPJcQTyGJ2yqntbuyr","Karthik, Shilpa Rao, Amit Trivedi","spotify:album:3EAMYk4XshI4q0OMxrAXRq","Ek Main Aur Ekk Tu","spotify:artist:7HCqGPJcQTyGJ2yqntbuyr","Amit Trivedi","2011-12-29","https://i.scdn.co/image/ab67616d0000b273dbde461b6d5675fac8ea50e9","1","4","267144","https://p.scdn.co/mp3-preview/eb27903d6191a1cd6964516d02ae031d92e27d13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","INS181104442","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:34:02Z","telugu pop,tollywood,tamil pop,kollywood,kannada pop,malayalam pop,tamil dance,mollywood,bollywood,hindi pop,desi,bollywood,hindi pop,desi,gujarati garba,gujarati pop","0.609","0.288","1","-13.371","1","0.0251","0.311","0.000145","0.109","0.301","81.999","4","","T-Series","C 2011 Super Cassettes Industries Private Limited, P 2011 Super Cassettes Industries Private Limited"
"spotify:track:4137w3YEeQSgz52qxyjxHR","Kaun Mera","spotify:artist:2FPwX3Gh0w4Qr1v3zSTtcT","Papon","spotify:album:6EN0NhqSQIYiLqbNkfXkIq","Special 26","spotify:artist:5YewttB9YNwpp5u3SGrRER, spotify:artist:0sSxphmGskGCKlwB9xa6WU","M. M. Kreem, Himesh Reshammiya","2013-01-10","https://i.scdn.co/image/ab67616d0000b2737840b2af41326ed0cc61e89d","1","5","172942","https://p.scdn.co/mp3-preview/64c0dc61390c91a65e38e0b78620dde6695773d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","INS181300030","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:34:07Z","bollywood,sufi,hindi pop","0.63","0.376","2","-9.814","1","0.0252","0.416","0.000179","0.0954","0.347","100.969","1","","T-Series","C 2013 Super Cassettes Industries Private Limited, P 2013 Super Cassettes Industries Private Limited"
"spotify:track:3zAXHUL5YcYOA41rruvjy4","Manchala","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb, spotify:artist:5SuRAj1A9FEHj5NxS86YAm, spotify:artist:3pNCgNatbtoJEkbElk3hwa","Vishal-Shekhar, Shafqat Amanat Ali, Nupur Pant","spotify:album:3PxXJhlxSQkj8JO7IXy0FE","Hasee Toh Phasee (Original Motion Picture Soundtrack)","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2014-01-05","https://i.scdn.co/image/ab67616d0000b2732025db071cd9dd7e8023e01e","1","4","227506","https://p.scdn.co/mp3-preview/4ebd0caf12bdaaff122709919c4a60b914c626f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","INS171301715","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:34:08Z","bollywood,desi,hindi pop,sufi,bollywood,hindi pop,desi,qawwali,bollywood","0.365","0.649","11","-5.295","0","0.0406","0.152","0","0.121","0.454","78.4","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2013 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:7FsbfCdgaITFyfA51iur79","Chaandaniya (From ""2 States"")","spotify:artist:0iqFHwswV50GDerCAjulem, spotify:artist:6pgJBbF3h8R4XlwetvZ9J3","Mohan Kannan, Yashita Sharma","spotify:album:39ZjvrRaIWYAyH2OLbIGrQ","Pen Down With Amitabh Bhattacharya","spotify:artist:2fMqTqiTxUDlmcOEPaQSsx","Amitabh Bhattacharya","2019-01-24","https://i.scdn.co/image/ab67616d0000b273db4ebd9ad63546ef25bd40d5","1","8","247862","https://p.scdn.co/mp3-preview/0348aacf3a6d30dda28b51e332ca5a74f1e0cc6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","INS181400605","spotify:user:x1qsttpb58bg58i3st0q365g9","2022-08-22T04:34:10Z","bollywood,hindi pop,gujarati pop,bollywood,desi","0.567","0.546","4","-8.316","1","0.0405","0.301","0.00000169","0.129","0.401","113.806","4","","T-Series","C 2019 Super Cassettes Industries Private Limited, P 2019 Super Cassettes Industries Private Limited"
