"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4GrowvVL3xpUgfnXj6mVRH","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5Mpodk3gBVn1eSAVlfbci4","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","1","0","","false","0","","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:07:58Z","champeta","0.651","0.562","9","-5.787","1","0.0302","0.601","0","0.121","0.607","81.029","4","","",""
"spotify:track:6FjbAnaPRPwiP3sciEYctO","Raabta","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:2DqQ34i4uuuZWTScsGIgHr","Agent Vinod","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2012-02-24","https://i.scdn.co/image/ab67616d0000b273e810a88d506b30bdc0935247","1","9","243578","https://p.scdn.co/mp3-preview/ba0b05081b2fa30569d3f29cd7fa63928d8b2c9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","INS181200529","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:08:10Z","bollywood,hindi pop,desi,sufi,hindi pop,bollywood,desi,bangla pop","0.657","0.581","0","-8.108","1","0.0298","0.699","0.0000182","0.116","0.323","118.037","4","","T-Series","C 2012 Super Cassettes Industries Private Limited, P 2012 Super Cassettes Industries Private Limited"
"spotify:track:2LcXJP95e4HKydTZ2mYfrx","Tujh Mein Rab Dikhta Hai","spotify:artist:6ohaQzKaXrobAL8paLSaxq, spotify:artist:03SZmfKAgYRQKUwy0EoJUa, spotify:artist:5kPOMQZvgkAEnRZqwn9SYQ","Salim–Sulaiman, Roop Kumar Rathod, Jaideep Sahni","spotify:album:7pbKuvQHUTwbq4FbevvEca","Rab Ne Bana Di Jodi","spotify:artist:6ohaQzKaXrobAL8paLSaxq","Salim–Sulaiman","2008-11-06","https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8","1","1","281573","https://p.scdn.co/mp3-preview/7b8a959f5834cc7c483751f1a410417357044084?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","INY090800053","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:08:14Z","bollywood,sufi,desi,hindi pop,qawwali,bollywood,sufi,hindi pop,desi,bollywood,desi,hindi pop,sufi","0.56","0.604","8","-8.732","1","0.0866","0.315","0.00000112","0.176","0.75","84.784","4","","YRF Music","C (C) 2008 YRF Music, P (P) 2008 YRF Music"
"spotify:track:7oUCpKXbK5PdNB0ytPOSqH","Rabba Mehar Kari","spotify:artist:2GoeZ0qOTt6kjsWW4eA6LS","Darshan Raval","spotify:album:7sdN7XHQeDhfK0OKMzi7De","Rabba Mehar Kari","spotify:artist:2GoeZ0qOTt6kjsWW4eA6LS","Darshan Raval","2021-02-18","https://i.scdn.co/image/ab67616d0000b2734ae7bae74852c0bd43f5db9c","1","1","208874","https://p.scdn.co/mp3-preview/62b4da01a48951ba6dea09075d5679a12d061145?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","DGA072161777","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:08:19Z","gujarati garba,hindi pop,bollywood,gujarati pop,desi pop,desi","0.475","0.636","10","-5.293","1","0.0389","0.47","0","0.116","0.333","80.171","4","","Indie Music Label","C 2021 E Positive Entertainment Private Limited, P 2021 E Positive Entertainment Private Limited"
"spotify:track:4dljlmVE5RTpAiEwCi6kkD","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5Mpodk3gBVn1eSAVlfbci4","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","2","0","","false","0","","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:08:37Z","champeta","0.575","0.655","8","-7.464","1","0.0427","0.604","0.000388","0.094","0.703","82.077","4","","",""
"spotify:track:4eFnk661RcdOuH9ajiTO3j","Banjaara","spotify:artist:6QtJ6BVdj43aDpgjnVp2tY","Mohammed Irfan","spotify:album:3EkmvTqyKrnMw1WiVpsSwF","Ek Villain","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-05-28","https://i.scdn.co/image/ab67616d0000b273a2ef89ae0f8d1848081c1449","1","2","336567","https://p.scdn.co/mp3-preview/2fb2fb52b9dade451e4b27fdaedecf3777eba749?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INS181401028","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:08:53Z","hindi pop,bollywood","0.657","0.489","1","-6.829","0","0.0306","0.713","0","0.124","0.399","116","4","","T-Series","C 2014 Super Cassettes Industries Private Limited, P 2014 Super Cassettes Industries Private Limited"
"spotify:track:1QhcBKt0schkJBhiZx6lxn","Hum Dum","spotify:artist:0E02VcvA5p1ndkLdqWD5JB","Ankit Tiwari","spotify:album:2ifXB65SLpF97vWZjKGpQ9","Shiddat","spotify:artist:3pQ4aA7dkolyjUAMrVScgh, spotify:artist:5HcunTidTUrOaf8V0iJcvl, spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:3o3G8YHpQHYo70WtJ4Hg8W","Manan Bhardwaj, Nusrat Fateh Ali Khan, Sachin-Jigar, Gourov Dasgupta","2021-09-22","https://i.scdn.co/image/ab67616d0000b273e4c77dc1b6c85c754f7f136c","1","4","305038","https://p.scdn.co/mp3-preview/46ad39a8145076702bbac0f1edd186a89111f16d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","INS182101534","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:09:10Z","bollywood,hindi pop,desi","0.532","0.396","5","-9.633","1","0.0273","0.677","0.0000409","0.0798","0.143","105.052","4","","T-Series","C 2021 Super Cassettes Industries Private Limited, P 2021 Super Cassettes Industries Private Limited"
"spotify:track:1OEmd2iXU8pWG7CrKNpGUg","Humdard","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","spotify:album:3EkmvTqyKrnMw1WiVpsSwF","Ek Villain","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-05-28","https://i.scdn.co/image/ab67616d0000b273a2ef89ae0f8d1848081c1449","1","5","260590","https://p.scdn.co/mp3-preview/380039e0dd0258317ebf486f27f49ae62f375ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","INS181401039","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:09:29Z","hindi pop,bollywood,desi,bangla pop","0.572","0.541","5","-6.45","1","0.0245","0.759","0","0.111","0.266","87.01","4","","T-Series","C 2014 Super Cassettes Industries Private Limited, P 2014 Super Cassettes Industries Private Limited"
"spotify:track:4LO5DjN6Tp3UkUvgESuy2t","Samjhawan","spotify:artist:2gXOOKY8mmJG6iwHrTq9gp, spotify:artist:0FJz7XR37hH69traaHLijA, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:0oOet2f43PA68X5RxKobEy","Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal","spotify:album:5jqOPaSXkGQv3IH62dHoUE","Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack)","spotify:artist:0FJz7XR37hH69traaHLijA, spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:2gXOOKY8mmJG6iwHrTq9gp","Shaarib Toshi, Sachin-Jigar, Jawad Ahmad","2014-06-19","https://i.scdn.co/image/ab67616d0000b273118f1494d8f5ebea6cd5e20d","1","2","269184","https://p.scdn.co/mp3-preview/4e422ed46408c2d11db07257ee5e3cf9ef6cabf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","INS171401263","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:10:27Z","bollywood,hindi pop,desi,bollywood,hindi pop,desi,hindi pop,bollywood,desi,bangla pop,bollywood,hindi pop,kannada pop,desi,marathi pop","0.65","0.482","4","-8.667","1","0.0281","0.293","0","0.0811","0.517","106.994","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2014 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:4t1DkxexoMbIHfSHS4Uiyr","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:2koMSm4dddvhxLzZyN2aEE","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","2","0","","false","0","","spotify:user:31aeuaklbjk5inqpdvdvapdgzh6u","2022-01-18T17:11:37Z","champeta","0.65","0.551","0","-6.906","1","0.0274","0.405","0","0.219","0.294","102.934","4","","",""
