"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5upmbnXemLfPvs3d2eyHml","Sajdaa","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:3OLGltG8UPIea8sA4w0yg0, spotify:artist:1SJOL9HJ08YOn92lFcYf8a, spotify:artist:2hgViyN0RqyQQpfjIb0g3W","Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma","spotify:album:3U2w8t9JJNx2SrUkdY7XRa","My Name Is Khan (Original Motion Picture Soundtrack)","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2010-01-05","https://i.scdn.co/image/ab67616d0000b2734ead1372a95d29819105a7a7","1","1","365706","https://p.scdn.co/mp3-preview/a340ebe65a3f5fe72a3b06a01c24a0665292653b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS170900501","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:28:34Z","bollywood,sufi,desi,hindi pop,sufi,qawwali,bollywood,hindi pop,desi,ghazal,bollywood,marathi pop,devotional,bhajan,desi,tamil dance,hindi pop,tamil pop,sufi,bollywood,desi,qawwali,hindi pop","0.468","0.737","8","-7.274","1","0.0765","0.726","0.00272","0.0655","0.572","79.448","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2010 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:1ax8ZuwRVkSdzzsIqyCNWQ","Tumse Milke Dil Ka","spotify:artist:1dVygo6tRFXC8CSWURQJq2, spotify:artist:0sbtGmW8r5bxfXzla8a7eI","Sonu Nigam, Sabri Brothers","spotify:album:2QyR1r0XwtvljXEZs9I3ge","Main Hoon Na","spotify:artist:71hjb5G92mGoKRSAW3Cj00","Anu Malik","2004-02-27","https://i.scdn.co/image/ab67616d0000b273e7fa423de639247fed12be4a","1","8","359253","https://p.scdn.co/mp3-preview/cfa93771a5789c37858ee564973e3f9704d124f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","INS180461118","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:29:09Z","kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,qawwali,sufi,bollywood,desi","0.853","0.745","9","-8.636","0","0.109","0.0642","0.00000187","0.0274","0.882","107.985","4","","T-Series","C 2004 Super Cassettes Industries Private Limited, P 2004 Super Cassettes Industries Private Limited"
"spotify:track:0pPGUL7171TRGgI6wyP8wP","Tumhe Jo Maine Dekha","spotify:artist:2ZRrPOjBIWoKK5rHedLijj, spotify:artist:0oOet2f43PA68X5RxKobEy","Abhijeet, Shreya Ghoshal","spotify:album:2QyR1r0XwtvljXEZs9I3ge","Main Hoon Na","spotify:artist:71hjb5G92mGoKRSAW3Cj00","Anu Malik","2004-02-27","https://i.scdn.co/image/ab67616d0000b273e7fa423de639247fed12be4a","1","2","341146","https://p.scdn.co/mp3-preview/95209a0dc28c04a6212e4d36c64981f84e5e7806?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","INS180461112","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:29:18Z","bollywood,hindi pop,bollywood,hindi pop,kannada pop,desi,marathi pop","0.734","0.903","0","-3.972","0","0.0649","0.432","0.00569","0.2","0.712","102.009","4","","T-Series","C 2004 Super Cassettes Industries Private Limited, P 2004 Super Cassettes Industries Private Limited"
"spotify:track:1AXQ4ZCUueIfGGEYAdq9Pe","Tere Naina","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:5SuRAj1A9FEHj5NxS86YAm","Shankar-Ehsaan-Loy, Shafqat Amanat Ali","spotify:album:3U2w8t9JJNx2SrUkdY7XRa","My Name Is Khan (Original Motion Picture Soundtrack)","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2010-01-05","https://i.scdn.co/image/ab67616d0000b2734ead1372a95d29819105a7a7","1","3","278546","https://p.scdn.co/mp3-preview/8979c1bbae6eb0ee0ed210b11ce27d1b5a1def49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS170900502","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:29:35Z","bollywood,sufi,desi,hindi pop,sufi,bollywood,hindi pop,desi,qawwali","0.522","0.74","0","-7.018","1","0.0465","0.558","0","0.144","0.732","92.618","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2010 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:0mWtcNIAL9jITVHl3F2SQF","Suraj Hua Maddham","spotify:artist:6AwwLwgIsTIXZ8kHWaZUj5, spotify:artist:1dVygo6tRFXC8CSWURQJq2, spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Sandesh Shandilya, Sonu Nigam, Alka Yagnik","spotify:album:5lExQTV6ELzqRgwsqahZoh","Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ, spotify:artist:6AwwLwgIsTIXZ8kHWaZUj5, spotify:artist:4tma2wxDchrifG8Pflic4Q","Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","2001-11-28","https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9","1","4","427546","https://p.scdn.co/mp3-preview/c11d48fc73083d6d827740264d2f92ec57812862?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","INS170100025","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:29:41Z","bollywood,desi,hindi pop,sufi,kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bollywood,hindi pop,desi","0.633","0.691","5","-5.851","1","0.0557","0.329","0.000211","0.134","0.57","80.002","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2001 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:0IYpKZhCeoXB85BslBg3q5","Yeh Ladka Hai Allah","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ, spotify:artist:70B80Lwx2sxti0M1Ng9e8K, spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Jatin-Lalit, Udit Narayan, Alka Yagnik","spotify:album:5lExQTV6ELzqRgwsqahZoh","Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ, spotify:artist:6AwwLwgIsTIXZ8kHWaZUj5, spotify:artist:4tma2wxDchrifG8Pflic4Q","Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","2001-11-28","https://i.scdn.co/image/ab67616d0000b273941eb533e845e5c2299570b9","1","6","327226","https://p.scdn.co/mp3-preview/5dd9aa68a0b2d01fa176c7bc27726062e5336a09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","INS170100027","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:29:46Z","bollywood,hindi pop,desi,bollywood,hindi pop,desi,bollywood,hindi pop,desi","0.645","0.908","11","-4.682","0","0.0997","0.421","0.0000016","0.381","0.877","104.233","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2001 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:6871FKHumiy1Wfr6vF7Xxt","Hawayein (From ""Jab Harry Met Sejal"")","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:4oKe6f61RFvmSLaDQ3vnnF","Hawayein (From ""Jab Harry Met Sejal"")","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","2017-07-26","https://i.scdn.co/image/ab67616d0000b2730f29b052ea18eb757ec7ca9a","1","1","289999","https://p.scdn.co/mp3-preview/3e6e12c649cfa53cbd7bd8b4e95461ceba1a6c32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","INS171701912","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:30:02Z","bollywood,hindi pop,desi,sufi,hindi pop,bollywood,desi,bangla pop","0.606","0.601","2","-5.576","1","0.0283","0.796","0.000511","0.127","0.453","125.961","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2017 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:6f3C6rJo7zvmfr1h5SRvxg","Ladki Badi Anjani Hai","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ, spotify:artist:4K6blSRoklNdpw4mzLxwfn, spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Jatin-Lalit, Kumar Sanu, Alka Yagnik","spotify:album:5i3NjuZceh9iqtcODFTM4Q","Kuch Kuch Hota Hai (Original Motion Picture Soundtrack)","spotify:artist:4YgUVg4p7xtMOrOS4GjiJZ","Jatin-Lalit","1998-08-19","https://i.scdn.co/image/ab67616d0000b273fe841eef499c6933add94d57","1","8","381706","https://p.scdn.co/mp3-preview/52cf5a985114fb2224d900c5202db487e036be89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","INS179900056","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:30:22Z","bollywood,hindi pop,desi,bollywood,hindi pop,bollywood,hindi pop,desi","0.637","0.774","7","-9.327","1","0.056","0.522","0.0001","0.0901","0.731","121.108","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 1998 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:251PNRmJU9KcUnFQAB5t6I","Kal Ho Naa Ho","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:1dVygo6tRFXC8CSWURQJq2","Shankar-Ehsaan-Loy, Sonu Nigam","spotify:album:6H71erprmvRxnWs3XqC8uE","Kal Ho Naa Ho (Original Motion Picture Soundtrack)","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2003-09-20","https://i.scdn.co/image/ab67616d0000b273a2055e0b847ff66fb5206099","1","1","321240","https://p.scdn.co/mp3-preview/73b2d7fde2748e434cbcbd0639eca7bae18910b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","INS170300027","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:30:27Z","bollywood,sufi,desi,hindi pop,kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop","0.532","0.529","0","-8.402","1","0.0352","0.334","0.000144","0.078","0.295","81.989","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2003 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:5fZ0oNVVUQe11KGpgcDCrY","Mere Naam Tu","spotify:artist:27rK4pP0VMqWiRe7pamKe5","Abhay Jodhpurkar","spotify:album:5z2yHjVO0vVLaFodbgdtJf","Zero","spotify:artist:5fvTHKKzW44A9867nPDocM, spotify:artist:5HcunTidTUrOaf8V0iJcvl, spotify:artist:4f7KfxeHq9BiylGmyXepGt","Ajay-Atul, Nusrat Fateh Ali Khan, Tanishk Bagchi","2018-12-21","https://i.scdn.co/image/ab67616d0000b273105b2126cb2da220758430aa","1","1","338593","https://p.scdn.co/mp3-preview/27cd56081d67ea52594a73dea33cfdc0657c1bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INS181802731","spotify:user:31gdx2qnuotmmccwuyzl7xfpeupu","2021-05-24T08:30:44Z","tamil pop,kollywood,bollywood","0.382","0.398","1","-10.026","0","0.0373","0.698","0.000216","0.111","0.313","179.649","3","","T-Series","C 2018 Super Cassettes Industries Private Limited, P 2018 Super Cassettes Industries Private Limited"
