"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5JCDVLwteSXuwVqjCa7SwH","O Rangrez","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:5diMmmNkRVfgUnXJrzXzjZ, spotify:artist:5XWfOrZhMMjoBTKcAgtFxe, spotify:artist:3cXNzZYIOUpv22w4iJm42t","Shankar-Ehsaan-Loy, Shreya Ghoshal, Javed Bashir, Yusuf Mohammed, Vajid Ali","spotify:album:3m5FIubiCHr9mH3BU7ngY4","Bhaag Milkha Bhaag (Original Motion Picture Soundtrack)","spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ","Shankar-Ehsaan-Loy","2013-06-14","https://i.scdn.co/image/ab67616d0000b273fd2df008046f04c32d9c0c2e","1","7","385000","https://p.scdn.co/mp3-preview/908d20cc5ed7c0a1bd3e4576b6a1e92e12c16742?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","INS171300371","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-10T15:50:42Z","bollywood,sufi,desi,hindi pop,bollywood,hindi pop,kannada pop,desi,marathi pop,sufi,qawwali,bollywood,hindi pop,desi,sufi,sufi","0.726","0.53","5","-8.485","1","0.0531","0.498","0","0.14","0.594","126.06","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2013 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:6hVq4MGBhPIniEmpGbJIWR","Hardum Humdum","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:6FoLUhYlbncGfVYckWTqLv","Ludo","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2020-11-13","https://i.scdn.co/image/ab67616d0000b273b67a843ee7de84208f3e4f28","1","2","188000","https://p.scdn.co/mp3-preview/44ed5f34d3b175b00bf073f7cd246c269df0df7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","INS182006635","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-10T15:51:03Z","bollywood,hindi pop,desi,sufi,hindi pop,bollywood,desi,bangla pop","0.59","0.821","2","-4.933","1","0.0444","0.346","0.00000838","0.454","0.784","116.942","4","","T-Series","C 2020 Super Cassettes Industries Private Limited, P 2020 Super Cassettes Industries Private Limited"
"spotify:track:0SAZ4IHYMtjW4Lxrjm7NnG","Aashiq Tera","spotify:artist:38IHJBGBuaYXHEkIQd4DtF, spotify:artist:1bTROl5p3rGTpvKeWnGgrw, spotify:artist:7h2iyGbQUPE8V8tATDSOAM","Altamash Faridi, Sohail Sen, Mudassar Aziz","spotify:album:2QTktaF2GGrGu8Qu3ZyIms","Happy Bhag Jayegi (Original Motion Picture Soundtrack)","spotify:artist:1bTROl5p3rGTpvKeWnGgrw, spotify:artist:7h2iyGbQUPE8V8tATDSOAM","Sohail Sen, Mudassar Aziz","2016-07-28","https://i.scdn.co/image/ab67616d0000b273e005c1f068091493afd80816","1","3","294751","https://p.scdn.co/mp3-preview/e243df8067311bf01750d8205d1b41d2ef45d915?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBSGZ1500734","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-10T15:51:08Z","bollywood,sufi,hindi pop,desi,bollywood,hindi pop,desi,sufi","0.46","0.885","4","-5.061","1","0.063","0.192","0","0.0847","0.627","114.936","4","","Eros Now Music","C (C) 2016 Eros Now Music, P (P) 2016 Eros Now Music"
"spotify:track:4EAxNKJQEIIcivG82cU5LM","Oonchi Oonchi Deewarein (From ""Yaariyan 2"")","spotify:artist:3pQ4aA7dkolyjUAMrVScgh, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Manan Bhardwaj, Arijit Singh","spotify:album:4j3UkSRlAyWElz9VNf7toV","Oonchi Oonchi Deewarein (From ""Yaariyan 2"")","spotify:artist:3pQ4aA7dkolyjUAMrVScgh, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Manan Bhardwaj, Arijit Singh","2023-09-20","https://i.scdn.co/image/ab67616d0000b273cac6ed4784b8f73a0145b3f7","1","1","251109","https://p.scdn.co/mp3-preview/f303eee5952729f7fe92f6d0afcb6392d207b4e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","INS182302608","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-10T15:51:13Z","bhajan,hindi pop,desi pop,hindi pop,bollywood,desi,bangla pop","0.263","0.616","5","-5.17","1","0.0398","0.533","0","0.086","0.298","78.353","4","","T-Series","C 2023 Super Cassettes Industries Private Limited, P 2023 Super Cassettes Industries Private Limited"
"spotify:track:0GJv5liFEnCzaIcuLn6v1i","Dil Ke Dastakk","spotify:artist:6cwVmr4MT81cpN0pwPZ35K, spotify:artist:7ybuewZzQsCL0PYXMJZia7, spotify:artist:3aAy6jFZLqqDUlMGSZcyaZ, spotify:artist:1ZYCMyQKFPRWYyvVnIh10b","Harshvardhan Singh, Dilraj Gopi, Karthik Rao, Shilpa Surroch","spotify:album:36Npc35cbWeglXyTEQoA1l","Please Find Attached - Season 2 (A Dice Original Series)","spotify:artist:3aAy6jFZLqqDUlMGSZcyaZ","Karthik Rao","2024-02-06","https://i.scdn.co/image/ab67616d0000b273307373cc9699fcad16c071fb","1","1","182413","https://p.scdn.co/mp3-preview/9cb7d91210d2fe6c2d6d661c97f0dbf82369575f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","INO132001829","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-10T16:02:54Z","hindi indie,indian indie,hindi indie,indian indie,hindi indie,indian indie,hindi indie,indian indie","0.621","0.306","7","-14.583","0","0.0294","0.826","0","0.124","0.312","110.016","4","","Pocket Aces Pictures Pvt Ltd","C 2024 Pocket Aces Pictures Pvt Ltd, P 2024 Pocket Aces Pictures Pvt Ltd"
"spotify:track:6egfWbtFFhMToV2DvmEzmo","Tu Hain Toh (From ""Mr. And Mrs. Mahi"")","spotify:artist:0Or6EukLg1g2fTl08fPz2o, spotify:artist:3VkiCR2nuvfucpvFXdSVtx, spotify:artist:1uY9B9QroF5K8wPyeEO1QN","Bunny, Hunny, Sagar","spotify:album:3PI3er7mHLniPndwdo0mlA","Mr. And Mrs. Mahi (Original Motion Picture Soundtrack)","spotify:artist:4f7KfxeHq9BiylGmyXepGt, spotify:artist:5wJ1H6ud777odtZl5gG507, spotify:artist:5gZhfbckaWo89OzDSk3gdT","Tanishk Bagchi, Vishal Mishra, Jaani","2024-05-24","https://i.scdn.co/image/ab67616d0000b273373b21b6dfdb6cd71e03101f","1","4","283539","https://p.scdn.co/mp3-preview/a33f91374827cf8d94c77706d4329c5f12322a24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","INS172408786","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-11T19:53:07Z","hindi pop","0.635","0.273","9","-10.396","1","0.0278","0.94","0","0.0928","0.462","100.956","1","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2024 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:2cPUB8EOT6AfJ8oxhyoNXL","Ye Tune Kya Kiya","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:5diMmmNkRVfgUnXJrzXzjZ","Pritam, Javed Bashir","spotify:album:381lOukp7nV59bJS13TkPe","Once Upon Ay Time In Mumbai Dobaara !","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:3yS84AjNFqhmuJlIXy7sax, spotify:artist:69EjD8i1YtmeJRBou0I21r","Pritam, Laxmikant–Pyarelal, Anupam Amod","2013-07-22","https://i.scdn.co/image/ab67616d0000b273fe77bd21eb38ff74b5f21524","1","1","314239","https://p.scdn.co/mp3-preview/15bae6265cd512ec4c182921afa158cd4b0b618e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","INS181304385","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-11T20:07:03Z","bollywood,hindi pop,desi,sufi,sufi,qawwali,bollywood,hindi pop,desi","0.578","0.798","7","-6.01","1","0.0699","0.58","0","0.111","0.728","91.96","4","","T-Series","C 2013 Super Cassettes Industries Private Limited, P 2013 Super Cassettes Industries Private Limited"
"spotify:track:1wnozUBSe7OMpmZiTPJC5j","Tum Tak (From ""Raanjhanaa"")","spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:4W91bbPB2CTSsHwt7eqNl7, spotify:artist:42lH1BZdeeLF5LW02tpKgB, spotify:artist:1Ju3SIITQWtyT3SOnONE40","A.R. Rahman, Javed Ali, KIRTI SAGATHIA, Pooja AV","spotify:album:24C47633GRlozws7WBth7t","Raanjhanaa (Original Motion Picture Soundtrack)","spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:3GdSQUH1BRtl9UrrtuwJlP","A.R. Rahman, Irshad Kamil","2013-05-31","https://i.scdn.co/image/ab67616d0000b273a00249b8bf77312ec156dd4b","1","9","304466","https://p.scdn.co/mp3-preview/b139842db394eb6adf2d623b8138e914ea3802b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","INS171300335","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-11T19:59:57Z","tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,sufi,bollywood,hindi pop,qawwali,desi,desi pop,bollywood,hindi pop,kollywood,bollywood","0.72","0.621","2","-9.773","1","0.0491","0.676","0","0.0679","0.566","114.987","4","","Sony Music Entertainment India Pvt. Ltd.","P (P) 2013 Sony Music Entertainment India Pvt. Ltd."
"spotify:track:2TuXsld8011wMWRR7L4dbM","Jhonka","spotify:artist:2FPwX3Gh0w4Qr1v3zSTtcT, spotify:artist:6hzngLO20cX5IGqT0hVv1G","Papon, Anurag Saikia","spotify:album:4kgkYZpNsCBGx2PkC0uJRE","Gullak: Season 3 (Music from the Original Series)","spotify:artist:6hzngLO20cX5IGqT0hVv1G","Anurag Saikia","2022-04-01","https://i.scdn.co/image/ab67616d0000b273414bef8e5eaadbe6edded7c2","1","2","272000","https://p.scdn.co/mp3-preview/3be726711eac0478ae80e385010a87c58c2ab68c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","INC442200014","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-10T15:41:47Z","bollywood,sufi,hindi pop,hindi indie,bollywood,ghazal,indian indie,hindi pop","0.639","0.386","11","-11.403","1","0.0409","0.917","0.000147","0.109","0.249","119.95","1","","Contagious Online Media Network Pvt Ltd","C (C) 2022 Contagious Online Media Network Pvt Ltd, P (P) 2022 Contagious Online Media Network Pvt Ltd"
"spotify:track:1kcV2LJxt5v0s2cEGtEJ5i","Phir Se Ud Chala","spotify:artist:5GnnSrwNCGyfAU4zuIytiS","Mohit Chauhan","spotify:album:3RZxrS2dDZlbsYtMRM89v8","Rockstar","spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:3GdSQUH1BRtl9UrrtuwJlP","A.R. Rahman, Irshad Kamil","2011-10-01","https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b","1","1","268833","https://p.scdn.co/mp3-preview/42708f56a78c632f307bde4333bb00d8f9edc1a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","INS181103498","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-07-11T19:24:34Z","bollywood,hindi pop,sufi,desi","0.647","0.656","11","-8.632","1","0.0354","0.657","0.000163","0.343","0.453","119.965","4","","T-Series","C 2011 Super Cassettes Industries Private Limited, P 2011 Super Cassettes Industries Private Limited"
