"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:520tnSeFL0qGLxD7I7YsxQ","Mamaké","spotify:artist:7JksKqLDuYE8QYj2WjiNQr","Sona Jobarteh","spotify:album:7h7MgG54nO4RvaPj01CEX6","Fasiya","spotify:artist:7JksKqLDuYE8QYj2WjiNQr","Sona Jobarteh","2011-06-16","https://i.scdn.co/image/ab67616d0000b273eeebb736f2346e2e2349e731","1","6","308053","https://p.scdn.co/mp3-preview/793f1c2998733eb090d2eda885c58805d2f1e5b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBVCY1100006","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-20T20:02:43Z","","0.696","0.4","1","-13.252","0","0.0318","0.769","0.028","0.0977","0.314","137.97","4","","African Guild Records","C 2011 African Guild Records, P 2011 African Guild Records"
"spotify:track:53JpZUCTqbHEtobWYyPi6j","Ya habibi taala - Remastered","spotify:artist:2vFXOKUQ2uhI9D8vKozoK6","Asmahan","spotify:album:4Fg4FVt2IchH8PQ9V0uxto","Emta tioud (All Tracks Remastered)","spotify:artist:2vFXOKUQ2uhI9D8vKozoK6","Asmahan","2015-04-05","https://i.scdn.co/image/ab67616d0000b27382f6894024d0cded1f82f27e","1","8","333087","https://p.scdn.co/mp3-preview/c369ac254baf1f68fad2dea11e3c3e1dffed347c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","ITCF41403899","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-05T04:08:01Z","","0.524","0.418","2","-4.631","0","0.036","0.838","0.00000223","0.1","0.691","77.952","4","","J. Joes J. Edizioni Musicali","C J. Joes J. Edizioni Musicali, P J. Joes J. Edizioni Musicali"
"spotify:track:3ggtx1YlN8UkqgJWtIFz4Q","Kun Faya Kun (From ""Rockstar"")","spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:4W91bbPB2CTSsHwt7eqNl7, spotify:artist:5GnnSrwNCGyfAU4zuIytiS","A.R. Rahman, Javed Ali, Mohit Chauhan","spotify:album:2MmZFEUgrP9QgMmKzmXHa5","Ar Rahman Musique","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-03-12","https://i.scdn.co/image/ab67616d0000b273db3bc20de33730b582169c87","1","2","470500","https://p.scdn.co/mp3-preview/b360644d52e45bc64340b5e3e7885a67c9801631?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","INS181103501","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-06T16:28:33Z","tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,sufi,bollywood,hindi pop,qawwali,desi,desi pop,bollywood,hindi pop,sufi,desi","0.362","0.378","1","-11.008","1","0.0329","0.679","0","0.091","0.575","87.549","4","","T-Series","C 2019 Super Cassettes Industries Private Limited, P 2019 Super Cassettes Industries Private Limited"
"spotify:track:66Z8gMxXEOXhubR79KlTu5","Preparate Reparada (Guembe) [Live]","spotify:artist:29u8U8MD9gvMcxkkJxikna","Buya","spotify:album:3CN7dh6Ov68yvDzIwl2udq","Buya (Live)","spotify:artist:29u8U8MD9gvMcxkkJxikna","Buya","2015-03-31","https://i.scdn.co/image/ab67616d0000b273e88215f873165c6985be45ba","1","2","261386","https://p.scdn.co/mp3-preview/cf68753a9c57f97fc0fe53eff0e68a045d90a9d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","QMAAK1539665","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-05T03:57:28Z","traditional music","0.623","0.918","6","-9.426","1","0.232","0.127","0.00000749","0.704","0.736","109.986","4","","Buya","C 2015 Buya, P 2015 Buya"
"spotify:track:3UR0l53tkpm9lr7KtHBKIM","Apareka","spotify:artist:3dAEq41JGtgeY7XLE7EIWf","Trio Mandili","spotify:album:5JRMjnb8eoCI88O6OyedUw","With Love","spotify:artist:3dAEq41JGtgeY7XLE7EIWf","Trio Mandili","2015-10-01","https://i.scdn.co/image/ab67616d0000b273be89d334db7b1489ae5e18a3","1","1","157845","https://p.scdn.co/mp3-preview/e169cb70c1220648c9101440664c491c0bb87699?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ITJ7L1500001","spotify:user:qjpl5gjk559sob7dk5qu931ag","2023-05-28T01:23:15Z","","0.61","0.455","1","-6.871","0","0.0439","0.824","0","0.157","0.58","85.769","3","","El Italia","C 2015 El Italia, P 2015 El Italia"
"spotify:track:5PpuB6i7ZCUAfKUeAdjvWK","Kwazulu (In the Land of the Zulus)","spotify:artist:18RkLKfeoUgZflWv9os25W","Miriam Makeba","spotify:album:27SMV8TOEzD5NvCI6dK7Xc","An Evening With Belafonte/Makeba","spotify:artist:6Tw1ktF4xMmzaLLbe98I2z, spotify:artist:18RkLKfeoUgZflWv9os25W","Harry Belafonte, Miriam Makeba","1965-05-19","https://i.scdn.co/image/ab67616d0000b273310cf96273bd3f86c9d595f0","1","2","152493","https://p.scdn.co/mp3-preview/129bee40a6e06620e31e857e87d4e5b16e6cce35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USRC16508074","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-05T03:51:32Z","afropop,cha cha cha","0.516","0.134","4","-19.727","1","0.0594","0.979","0","0.364","0.841","119.014","4","","RCA Records Label","P (P) 1965 Sony Music Entertainment"
"spotify:track:62CiJa3DgDNOdUswout4CW","Gambia","spotify:artist:7JksKqLDuYE8QYj2WjiNQr","Sona Jobarteh","spotify:album:1lFli5KvWDQ44irop8P9se","Badinyaa Kumoo","spotify:artist:7JksKqLDuYE8QYj2WjiNQr","Sona Jobarteh","2022-09-23","https://i.scdn.co/image/ab67616d0000b273a80f87a600d0273e325f2dc0","1","8","310703","https://p.scdn.co/mp3-preview/d442a2e6d5c8cd46d913a63e6a4debda061d4427?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBVCY1500001","spotify:user:qjpl5gjk559sob7dk5qu931ag","2023-02-20T21:38:46Z","","0.787","0.788","10","-8.93","1","0.0386","0.702","0.0943","0.185","0.841","109.018","4","","African Guild Records","C 2022 African Guild Records, P 2022 African Guild Records"
"spotify:track:0S9Y0Yz7U6wrH4qHrnKiDX","Night Song","spotify:artist:3EDeV0rr4qc3RT0M2LTaBK","Lei Qiang","spotify:album:3rUxYLfQAGbP05GHHF9Qxx","Chinese Traditional Erhu Music 1","spotify:artist:3EDeV0rr4qc3RT0M2LTaBK","Lei Qiang","1995","https://i.scdn.co/image/ab67616d0000b27303f8611c187331d410ce9439","1","1","240493","https://p.scdn.co/mp3-preview/7b011899264976bfcbe3b65f2c102029f0e653d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USA560526808","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-05T03:35:45Z","traditional music","0.241","0.202","7","-14.331","1","0.0362","0.898","0.514","0.298","0.218","67.742","4","","Oliver Sudden Productions","C 1995 Oliver Sudden Productions INC./"
"spotify:track:45tayNM9TxJ4ajXXt1t9GT","Kulning","spotify:artist:3URxmsTsn7mJV3CAbaqM0k","Maria Hulthén Birkeland","spotify:album:5NSH1IvNl1SEbqpYJGAbA3","Vart än du går","spotify:artist:3URxmsTsn7mJV3CAbaqM0k","Maria Hulthén Birkeland","2016-06-30","https://i.scdn.co/image/ab67616d0000b273fdbef67da028f1500059a3d1","1","17","74573","https://p.scdn.co/mp3-preview/5610d505bc924713ef3399a0fc9f59b637298627?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","SEVPH1600117","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-05T03:30:40Z","swedish ballads","0.181","0.0115","3","-32.783","1","0.0562","0.979","0.871","0.0784","0.263","75.068","1","","Naxos Sweden - Nosag","C (C) 2016 Gason Records"
"spotify:track:08u1t2Nhb8Cevw3PYETtON","Gràdh geal mo chridh'","spotify:artist:6X8mRorXGyimIWypM65fT6","Ishbel MacAskill","spotify:album:1hloSypbmBfCZKUgB8SJYP","Gaelic Scotland","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-09-02","https://i.scdn.co/image/ab67616d0000b27382dd6d76b49c5b6f36b38863","1","1","265610","https://p.scdn.co/mp3-preview/d775b15095fcf2883ef2ca6c81ddfb8c210e2230?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","GBGLJ9406008","spotify:user:qjpl5gjk559sob7dk5qu931ag","2021-03-05T03:48:53Z","celtic","0.247","0.0521","6","-14.562","1","0.0341","0.986","0","0.126","0.137","100.22","1","","ARC","C 2014 ARC, P 2014 ARC"
