"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6w458kA8WOAIZr1ublxnK9","Safarnama","spotify:artist:2L16nDKTxhFGaDriR2AHTB","Lucky Ali","spotify:album:2CUXo26JAWIbQx0EVMnjpA","Tamasha","spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:3GdSQUH1BRtl9UrrtuwJlP","A.R. Rahman, Irshad Kamil","2015-10-16","https://i.scdn.co/image/ab67616d0000b273da50894e074ecd5ce61de0a1","1","6","251402","https://p.scdn.co/mp3-preview/738c0e5cfa4b6aec97fc18dcc131059abe4849ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS181501799","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:14:06Z","desi pop,bollywood,hindi indie,indian indie,hindi pop","0.541","0.512","9","-10.203","1","0.0291","0.74","0.000528","0.162","0.203","120.036","4","","T-Series","C 2015 Super Cassettes Industries Private Limited, P 2015 Super Cassettes Industries Private Limited"
"spotify:track:3GrTI5vAoDD3VE24VTBJAc","Yun Hi Chala Chal","spotify:artist:70B80Lwx2sxti0M1Ng9e8K, spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu, spotify:artist:4oVMLzAqW6qhRpZWt8fNw4","Udit Narayan, Hariharan, Kailash Kher","spotify:album:72oHSx1OrxR0gig6JcVAEW","Swades","spotify:artist:1mYsTxnqsietFxj1OgoGbG","A.R. Rahman","2004-09-24","https://i.scdn.co/image/ab67616d0000b273e63c0ab993ae23b9efa3fe27","1","3","446986","https://p.scdn.co/mp3-preview/543a3d78ce8ef7488eb565ba17daac1939f82043?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INS180461166","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:14:42Z","bollywood,hindi pop,desi,bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,sufi,bhajan,bollywood,qawwali,hindi pop,devotional,kannada pop","0.822","0.687","9","-8.167","1","0.0421","0.0593","0","0.0609","0.816","106.47","4","","T-Series","C 2004 Super Cassettes Industries Private Limited, P 2004 Super Cassettes Industries Private Limited"
"spotify:track:5cgKosPPj5Cs9a2JQufUc1","Ilahi","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:2Lxoc72vRTGdQfMvj7Ovi1","Yeh Jawaani Hai Deewani","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2013-03-30","https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4","1","3","228982","https://p.scdn.co/mp3-preview/f370312842334fb48cd7ac346f2c63f8fe603eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","INS181303779","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:15:22Z","bollywood,hindi pop,desi,sufi,hindi pop,bollywood,desi,bangla pop","0.593","0.967","9","-5.767","1","0.0907","0.166","0.0000254","0.105","0.452","131.988","4","","T-Series","C 2013 Super Cassettes Industries Private Limited, P 2013 Super Cassettes Industries Private Limited"
"spotify:track:4bD9z9qa4qg9BhryvYWB7c","Kabira","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:6k6dimE4a6OFnD0HWmkIUW, spotify:artist:3cqeO3muWIW5uSmUDNCmyT","Pritam, Tochi Raina, Rekha Bhardwaj","spotify:album:2Lxoc72vRTGdQfMvj7Ovi1","Yeh Jawaani Hai Deewani","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2013-03-30","https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4","1","4","223459","https://p.scdn.co/mp3-preview/75e722cf78b98bd47c25a942da931e2e918b392b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","INS181303780","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:16:05Z","bollywood,hindi pop,desi,sufi,bollywood,hindi pop,desi,sufi,bollywood,ghazal,hindi pop,sufi,desi","0.59","0.555","2","-6.861","1","0.0271","0.481","0","0.192","0.191","84.027","4","","T-Series","C 2013 Super Cassettes Industries Private Limited, P 2013 Super Cassettes Industries Private Limited"
"spotify:track:5VbZt5Tp8qUGFMRXctKdIi","Aazaadiyan (Pairon Ki Bediyan)","spotify:artist:7HCqGPJcQTyGJ2yqntbuyr, spotify:artist:6LyiUcIr0wG0mC8E01kyI6, spotify:artist:39fT56OHEL2E98zDKrqBsC, spotify:artist:2fMqTqiTxUDlmcOEPaQSsx","Amit Trivedi, Neuman Pinto, Nikhil D'Souza, Amitabh Bhattacharya","spotify:album:675yMfRB6Diis4V1bJi4KL","Udaan","spotify:artist:7HCqGPJcQTyGJ2yqntbuyr","Amit Trivedi","2010-06-29","https://i.scdn.co/image/ab67616d0000b273539dd7702845ac03e2c64ac5","1","6","337902","https://p.scdn.co/mp3-preview/efa1c9ef01486379cee6ec75f68a5c71a638081c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","INS181007058","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:16:42Z","bollywood,hindi pop,desi,gujarati garba,gujarati pop,bollywood,hindi indie,bollywood,hindi pop,hindi indie,indian indie,bollywood,hindi pop,desi","0.548","0.466","2","-7.083","1","0.0242","0.389","0.0000401","0.125","0.202","100.066","4","","T-Series","C 2010 Super Cassettes Industries Private Limited, P 2010 Super Cassettes Industries Private Limited"
"spotify:track:1kcV2LJxt5v0s2cEGtEJ5i","Phir Se Ud Chala","spotify:artist:5GnnSrwNCGyfAU4zuIytiS","Mohit Chauhan","spotify:album:3RZxrS2dDZlbsYtMRM89v8","Rockstar","spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:3GdSQUH1BRtl9UrrtuwJlP","A.R. Rahman, Irshad Kamil","2011-10-01","https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b","1","1","268833","https://p.scdn.co/mp3-preview/42708f56a78c632f307bde4333bb00d8f9edc1a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","INS181103498","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:17:40Z","bollywood,hindi pop,sufi,desi","0.647","0.656","11","-8.632","1","0.0354","0.657","0.000163","0.343","0.453","119.965","4","","T-Series","C 2011 Super Cassettes Industries Private Limited, P 2011 Super Cassettes Industries Private Limited"
"spotify:track:48pyUxg9RYuwie5M9R7qRn","Sooraj Dooba Hain","spotify:artist:76fuWYgIf3TVIopTs3vaJ6, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:4iW4xSfMEIvrXM0Iu3aFDY, spotify:artist:0m3D4grap8VFSzbJMqgNVk","Amaal Mallik, Arijit Singh, Aditi Singh Sharma, Kumaar","spotify:album:4ixAjixkWs8mCNdlTH1Cdf","Roy","spotify:artist:76fuWYgIf3TVIopTs3vaJ6, spotify:artist:0E02VcvA5p1ndkLdqWD5JB, spotify:artist:5isfxZ3RSdBlSLn3cSFhnI","Amaal Mallik, Ankit Tiwari, Meet Bros Anjjan","2015-01-09","https://i.scdn.co/image/ab67616d0000b273f6371011af4c82fb31d54820","1","1","264854","https://p.scdn.co/mp3-preview/88ea9c1bb4970f1bcd3abec9805382ae6e51318f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","INS181427514","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2022-06-19T18:18:56Z","bollywood,hindi pop,desi,hindi pop,bollywood,desi,bangla pop,bollywood,desi,hindi pop,bollywood,hindi pop,desi,desi pop","0.616","0.75","2","-4.629","1","0.0594","0.172","0","0.137","0.434","128.051","4","","T-Series","C 2015 Super Cassettes Industries Private Limited, P 2015 Super Cassettes Industries Private Limited"
"spotify:track:6pFkZQ3o224K3dAR16oWAj","Zindagi Ek Safar Hai Suhana - Kishore Kumar","spotify:artist:0GF4shudTAFv8ak9eWdd4Y","Kishore Kumar","spotify:album:11lBV9Z5IKyurmWwWIUd1a","Andaz","spotify:artist:1Ss4YdByiwTuR5Fh9e89sc, spotify:artist:7rz27ACmehnqKMcd48irkL","Shankar Jaikishan, Hasrat Jaipuri","1971-01-01","https://i.scdn.co/image/ab67616d0000b273d5839b701ba214a45a28a2f7","1","4","260400","https://p.scdn.co/mp3-preview/99810f0f06849ad9bc8290122b16df9f7e513a31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","INH109336810","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-02-22T08:40:26Z","bangla pop,ghazal,hindi pop,bollywood","0.546","0.746","5","-9.557","0","0.0928","0.86","0.0225","0.385","0.791","118.081","4","","Saregama","C 1971 Saregama India Ltd, P 1971 Saregama India Ltd"
"spotify:track:3DC6ach1pIdhse50r21QYu","Aaj Se Pehle Aaj Se Jyada","spotify:artist:2wPsNCwhEGb0KvChZ5DD52","K. J. Yesudas","spotify:album:3c107xblrlQO1THHR66OJA","Chitchor","spotify:artist:0y633xrd3L3rSxpZ4awgnG","Ravindra Jain","1976-12-20","https://i.scdn.co/image/ab67616d0000b2735149a5c2323b4c11cf7cf94d","1","4","304920","https://p.scdn.co/mp3-preview/a80df13051a4279cf4f6d5fbea78e05ebb95e5af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","INH109435600","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-02-22T08:41:01Z","malayalam pop,devotional,mollywood,tamil pop","0.437","0.624","10","-7.385","0","0.0342","0.42","0.00205","0.096","0.918","88.795","4","","Saregama","C 1976 Saregama India Ltd, P 1976 Saregama India Ltd"
"spotify:track:4MiiZH1ONmjTVEFbGURgMC","Chala Jata Hoon","spotify:artist:0GF4shudTAFv8ak9eWdd4Y, spotify:artist:2JSYASbWU5Y0fVpts3Eq7g","Kishore Kumar, R. D. Burman","spotify:album:0LgDRtuJbng7HyGRHhdJGX","Mere Jeevan Saathi","spotify:artist:2JSYASbWU5Y0fVpts3Eq7g","R. D. Burman","1972-01-01","https://i.scdn.co/image/ab67616d0000b273f37953bdced22729ab0743ea","1","5","269551","https://p.scdn.co/mp3-preview/6f0d07fd464862b2ec944a7e16dff121d7baf661?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","INH109544110","spotify:user:pjwjkeplirrbgs4o6iva2lzct","2024-02-22T08:41:40Z","bangla pop,ghazal,hindi pop,bollywood,ghazal,bangla pop,hindi pop,bollywood","0.535","0.465","4","-7.403","1","0.032","0.911","0.00000282","0.446","0.859","107.805","4","","Saregama","C 1972 Saregama India Ltd, P 1972 Saregama India Ltd"
