"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3vCzLB6kS2lGcIpm1OOUsy","Ishq Hai","spotify:artist:6hzngLO20cX5IGqT0hVv1G, spotify:artist:2DFCHTDIA0t638a4mm37dK, spotify:artist:0bRPtPZQkWHeG7MGk9eWlh, spotify:artist:2780kFYuvbwSLPJZ5faEDw, spotify:artist:4gzrZDyL5gYiROkv27pYKx, spotify:artist:4ojkMVHjuDZgDXSJy5qs2h, spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast","spotify:album:75SlrAXlLbJN9LYJwlTJh6","Mismatched: Season 3 (Soundtrack from the Netflix Series)","spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Mismatched - Cast","2024-12-03","https://i.scdn.co/image/ab67616d0000b27379f4a87c23143f0abb14c279","1","1","312857","https://p.scdn.co/mp3-preview/b482413e883fe929917d05576e6a8599400dc7d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","INT202405090","spotify:user:","2025-04-21T05:53:56Z","hindi indie,bollywood,ghazal,indian indie,hindi pop,bollywood,hindi pop,desi,hindi pop,bollywood,desi,sufi,hindi pop,sufi,hindi pop,bollywood,desi pop,desi,bollywood,hindi pop,indian indie,hindi indie,ghazal,hindi pop","0.312","0.592","0","-6.995","1","0.0463","0.561","0","0.137","0.639","78.684","4","","Netflix Music","C 2024 Netflix Music, LLC, P 2024 Netflix Music, LLC"
"spotify:track:2b5bJwkDxeOGDH54Bj4q3B","Ghar Aa Maahi - Sajan Bin Version (From ""Bandish Bandits Season 2"")","spotify:artist:3GeB4PeRfwhRaI1Xtu7FIH, spotify:artist:3tPQOjkxO3mrYrrgkTeXgH, spotify:artist:1Taiu6ysv5t5sVhhMYYucf, spotify:artist:0L5GV6LN8SWWUWIdBbTLTZ, spotify:artist:1bbE1C0fPmooE7yM0oLshU, spotify:artist:6beOaVvPVwBvJMHZZox3p1, spotify:artist:3UXS7C1BeRwPNkwj5DNvxd, spotify:artist:1Uy4rDTdXHBBSAjDTOKoRC","Ana Rehman, Nikhita Gandhi, Akashdeep Sengupta, Shankar-Ehsaan-Loy, Divyanshu Malhotra, Shubham Shirule, Ankkit Singh, Suvarna Tiwari","spotify:album:5HdqUbtOQo4POIWtsZDCi0","Ghar Aa Maahi - Sajan Bin Version (From ""Bandish Bandits Season 2"")","spotify:artist:3GeB4PeRfwhRaI1Xtu7FIH, spotify:artist:3tPQOjkxO3mrYrrgkTeXgH, spotify:artist:1Taiu6ysv5t5sVhhMYYucf","Ana Rehman, Nikhita Gandhi, Akashdeep Sengupta","2025-01-31","https://i.scdn.co/image/ab67616d0000b273d95504343e696d5a20851d0e","1","1","448064","https://p.scdn.co/mp3-preview/7c8c125128cfdb67a1f777791f7d2d9833305225?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","INS182500134","spotify:user:","2025-04-21T05:53:56Z","bollywood,hindi pop,hindi pop,bollywood,sufi,desi,hindi pop,indian indie,hindi indie","0.399","0.741","7","-5.043","0","0.123","0.0615","0","0.124","0.251","159.943","4","","T-Series","C 2025 Super Cassettes Industries Private Limited, P 2025 Super Cassettes Industries Private Limited"
"spotify:track:3eSm4iAkLsn3BeggfiQOH9","Kaise Ab Kahein - From ""Gutar Gu""","spotify:artist:2yC22iFmcNBOfauIctRvPT, spotify:artist:1oJYWBIasyrnLv3jZYkIRF, spotify:artist:0RVfcqug2nB820dxIGycIW, spotify:artist:2LX2ca4llDo1CckEcTl2Nc, spotify:artist:6eBkw5IL6oFehkMupSVa0S","Gaurav Chatterji, Aasa Singh, Hansika Pareek, Hrishi Giridhar, Pratik Gangavane","spotify:album:6NXaQGU2jsb6O38BIJ6QXy","Kaise Ab Kahein (From ""Gutar Gu"")","spotify:artist:2yC22iFmcNBOfauIctRvPT, spotify:artist:1oJYWBIasyrnLv3jZYkIRF, spotify:artist:0RVfcqug2nB820dxIGycIW","Gaurav Chatterji, Aasa Singh, Hansika Pareek","2023-04-13","https://i.scdn.co/image/ab67616d0000b273f17c959db73a5c53ddc903e9","1","1","120000","https://p.scdn.co/mp3-preview/f986e53ac206f77523801640bf67cb25848d6778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","FRX282391222","spotify:user:","2025-04-21T05:53:56Z","indian indie,hindi indie,indian indie,hindi indie,indian indie,hindi indie,gujarati pop,hindi indie","0.443","0.396","7","-11.071","1","0.037","0.891","0","0.0926","0.488","89.114","4","","Sikhya Entertainment Records","C 2023 Sikhya Entertainment Records, P 2023 Sikhya Entertainment Records"
"spotify:track:5kwldaZvtbiTmRYsmlyxAN","Paisa Hai Toh","spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:6CXEwIaXYfVJ84biCxqc9k, spotify:artist:7tH8oZj2nLERlp2hE5QNjp, spotify:artist:48RCl7AbbfhC60EN8a80Op","Sachin-Jigar, Vishal Dadlani, Mellow D, Jigar Saraiya","spotify:album:2W4AYutWKIjmtGVnU6q3Xz","Farzi (Original Series Soundtrack)","spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:4f7KfxeHq9BiylGmyXepGt","Sachin-Jigar, Tanishk Bagchi","2023-01-26","https://i.scdn.co/image/ab67616d0000b273bc66d88cc487732b6ba141b8","1","1","188586","https://p.scdn.co/mp3-preview/4c52f9353441c8ce0e4dd2c713701986df7417b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS172300363","spotify:user:","2025-04-21T05:53:56Z","gujarati pop,bollywood,hindi pop,desi,gujarati garba,bollywood,desi,hindi pop,desi pop,bollywood,hindi pop,bollywood,hindi pop,desi","0.672","0.759","4","-5.22","0","0.0352","0.205","0","0.291","0.794","150.042","4","","Sony Music / Amazon Sellers Services Pvt. Ltd.","P (P) 2023 Sony Music Entertainment India Pvt. Ltd. Under Exclusive License From Amazon Sellers Services Pvt. Ltd."
"spotify:track:7xt1AuUbQBZC4yvxxm4nAI","Sohnea","spotify:artist:0DyXyd0D6fMUsuD6yONANx, spotify:artist:7hVmdlsJp0E2WQIvVl8ngN","Miss Pooja, Millind Gaba","spotify:album:6P21Kvx0Wv34un0r1mSnxO","Sohnea","spotify:artist:0DyXyd0D6fMUsuD6yONANx","Miss Pooja","2017-04-05","https://i.scdn.co/image/ab67616d0000b27365c61a31e169bcdfffab8c49","1","1","269643","https://p.scdn.co/mp3-preview/9b7e542692c4df76919b2e17183a58de079e6086?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","INM431700105","spotify:user:","2025-04-21T05:53:56Z","bhangra,desi,punjabi pop,punjabi pop","0.757","0.745","4","-3.085","1","0.038","0.395","0","0.308","0.598","119.8","4","","Times Music","C © 2017 Times Music / Speed Records, P ℗ 2017 Times Music / Speed Records"
"spotify:track:6V7QyA9N0Zp7C6k8qsYfpm","Kahaan Ho Tum","spotify:artist:0tC995Rfn9k2l7nqgCZsV7","Prateek Kuhad","spotify:album:4UBpXkgzFj39NOcdfuQpxt","Mismatched: Season 1 (Music from the Netflix Original Series)","spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Mismatched - Cast","2020-11-11","https://i.scdn.co/image/ab67616d0000b273a91bbfed11a109d577f06cde","1","1","155289","https://p.scdn.co/mp3-preview/40062279f3257757cbdfe88fba1d4804b8251515?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZ8BZ2000713","spotify:user:","2025-04-21T05:53:56Z","indian indie,hindi indie","0.714","0.393","5","-10.157","1","0.0754","0.733","0.00192","0.123","0.72","67.589","4","","Netflix Music","C 2020 Netflix Music, LLC, P 2020 Netflix Music, LLC"
"spotify:track:02wf1NAQdIpe5S1NJYPwvB","Aise Kyun - Ghazal Version","spotify:artist:3cqeO3muWIW5uSmUDNCmyT, spotify:artist:6hzngLO20cX5IGqT0hVv1G, spotify:artist:2DFCHTDIA0t638a4mm37dK, spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Rekha Bhardwaj, Anurag Saikia, Raj Shekhar, Mismatched - Cast","spotify:album:0bPV8j4jfsKeoW5P3YQInX","Mismatched: Season 2 (Soundtrack from the Netflix Series)","spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Mismatched - Cast","2022-09-30","https://i.scdn.co/image/ab67616d0000b27390853ed444266d1d2bb55c28","1","4","329080","https://p.scdn.co/mp3-preview/d849f3a7e29a2a17ab2cb6561ffac15a38cff456?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QZ8BZ2201990","spotify:user:","2025-04-21T05:53:56Z","bollywood,ghazal,hindi pop,sufi,desi,hindi indie,bollywood,ghazal,indian indie,hindi pop,bollywood,hindi pop,desi,indian indie,hindi indie,ghazal,hindi pop","0.395","0.378","3","-9.743","1","0.0443","0.88","0.0879","0.105","0.286","152.204","4","","Netflix Music","C 2022 Netflix Music, LLC, P 2022 Netflix Music, LLC"
"spotify:track:4wUtptr1RLnHyTlkbUKutH","Dhaaga","spotify:artist:2JexWjjyHRNgAiDXNn7rsV, spotify:artist:2iABRD4RXxrhfiO1TPdFvy","Nilotpal Bora, Hussain Haidry","spotify:album:3hFz046pdpJkSIGSXtG5jE","Aspirants: Season 1 (Music From the TVF Original Series)","spotify:artist:74CPBrslEYWrTqLRgZKacv, spotify:artist:0S4vWoqkRkL2ew96fVPMM9, spotify:artist:2JexWjjyHRNgAiDXNn7rsV","Rohit Sharma, Tusshar Mallek, Nilotpal Bora","2021-05-07","https://i.scdn.co/image/ab67616d0000b273926ddfb42b05a8d6c9fba029","1","5","232807","https://p.scdn.co/mp3-preview/861f1a44fca89048d1508f135bdce04b37ab3e36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","INC441800009","spotify:user:","2025-04-21T05:53:56Z","hindi indie,indian indie,sufi,hindi indie,indian indie,sufi","0.428","0.361","4","-8.53","1","0.0302","0.881","0.00000373","0.0583","0.178","119.363","1","","Contagious Online Media Network Pvt Ltd","C (C) 2021 Contagious Online Media Network Pvt Ltd, P (P) 2021 Contagious Online Media Network Pvt Ltd"
"spotify:track:2RelZc0EwHPsVwrW6B6taZ","Vekh Sohneyaa - From ""Call Me Bae""","spotify:artist:2Qa5HYyDrPrArARMDJfDbJ, spotify:artist:3hbwOFtgWSNfeRzF2o7Y65","Bombay the Artist, Charan","spotify:album:23eaFv7tdDjiPmdv5nQKj1","Vekh Sohneyaa (From ""Call Me Bae"")","spotify:artist:2Qa5HYyDrPrArARMDJfDbJ, spotify:artist:3hbwOFtgWSNfeRzF2o7Y65","Bombay the Artist, Charan","2024-08-27","https://i.scdn.co/image/ab67616d0000b2737480ebc1c684ccf400570a39","1","1","216465","https://p.scdn.co/mp3-preview/b50c934ac81271fd01b273d19338a570b2f504df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INS172409624","spotify:user:","2025-04-21T05:53:56Z","indian indie,hindi indie,hindi indie,indian indie","0.715","0.673","4","-4.86","0","0.0593","0.273","0","0.146","0.615","114.968","4","","Sony Music Entertainment India Pvt. Ltd. / Amazon Seller Services Private Limited","P (P) 2024 Sony Music Entertainment India Pvt. Ltd. Under Exclusive License From Amazon Sellers Services Pvt. Ltd."
"spotify:track:2QophXhN2Ls2URfoPmiviC","Kho Gaye","spotify:artist:1FWl7I9wJpb7Bhhutef4Xe, spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Taaruk Raina, Mismatched - Cast","spotify:album:0bPV8j4jfsKeoW5P3YQInX","Mismatched: Season 2 (Soundtrack from the Netflix Series)","spotify:artist:0NbgKDsEHiPzZBZkqZGkXm","Mismatched - Cast","2022-09-30","https://i.scdn.co/image/ab67616d0000b27390853ed444266d1d2bb55c28","1","9","197763","https://p.scdn.co/mp3-preview/17054af953c09fb5b93c848bf87cb6fa315bcbbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","QZ8BZ2201996","spotify:user:","2025-04-21T05:53:56Z","indian indie,hindi indie,desi pop,indian indie,hindi indie,ghazal,hindi pop","0.478","0.374","8","-11.627","0","0.0361","0.628","0.000736","0.0979","0.218","76.163","4","","Netflix Music","C 2022 Netflix Music, LLC, P 2022 Netflix Music, LLC"
