,State,Total night minutes,Total intl minutes,Churn,NewCol,NewCol_calc
0,KS,244.7,10.0,False,254.7,0
1,OH,254.4,13.7,False,268.1,0
2,NJ,162.6,12.2,False,174.79999999999998,0
3,OH,196.9,6.6,False,203.5,0
4,OK,186.9,10.1,False,197.0,0
5,AL,203.9,6.3,False,210.20000000000002,0
6,MA,212.6,7.5,,220.1,0
7,MO,211.8,7.1,False,218.9,0
8,LA,215.8,8.7,False,224.5,0
9,WV,326.4,11.2,False,337.59999999999997,0
10,IN,208.8,12.7,True,221.5,1
11,RI,196.0,9.1,False,205.1,0
12,IA,141.1,11.2,False,152.29999999999998,0
13,MT,192.3,12.3,False,204.60000000000002,0
14,IA,203.0,13.1,False,216.1,0
15,NY,160.6,5.4,True,166.0,1
16,ID,89.3,13.8,False,103.1,0
17,VT,129.6,8.1,False,137.7,0
18,VA,165.7,10.0,False,175.7,0
19,TX,192.8,13.0,False,205.8,0
20,FL,208.8,10.6,False,219.4,0
21,CO,209.6,5.7,True,215.29999999999998,1
22,AZ,181.8,9.5,,191.3,0
23,SC,189.6,7.7,False,197.29999999999998,0
24,VA,237.0,10.3,False,247.3,0
25,NE,250.7,15.5,False,266.2,0
26,WY,182.7,9.5,False,192.2,0
27,MT,102.1,14.7,False,116.8,0
28,MO,181.5,6.3,False,187.8,0
29,HI,178.7,11.1,,189.79999999999998,0
30,IL,250.5,14.2,False,264.7,0
31,NH,246.2,10.3,False,256.5,0
32,LA,293.3,12.6,False,305.90000000000003,0
33,AZ,280.2,11.8,True,292.0,1
34,OK,213.5,8.3,False,221.8,0
35,GA,152.8,14.7,False,167.5,0
36,AK,129.3,14.5,False,143.8,0
37,MA,227.8,10.0,False,237.8,0
38,AK,101.7,10.5,False,112.2,0
39,NJ,188.3,11.1,False,199.4,0
40,GA,187.8,9.4,False,197.20000000000002,0
41,MD,122.2,14.6,True,136.8,1
42,AR,311.5,10.0,False,321.5,0
43,ID,178.5,9.2,False,187.7,0
44,WI,265.3,3.5,False,268.8,0
45,OR,163.1,8.5,False,171.6,0
46,MI,134.7,13.2,False,147.89999999999998,0
47,DE,242.2,7.4,False,249.6,0
48,ID,143.2,8.8,True,152.0,1
49,WY,70.6,11.0,False,81.6,0
50,IA,236.8,7.8,False,244.60000000000002,0
51,IN,249.0,6.8,False,255.8,0
52,VA,282.8,11.4,False,294.2,0
53,UT,228.5,9.3,False,237.8,0
54,WY,203.9,9.7,True,213.6,1
55,IN,270.2,10.2,False,280.4,0
56,CO,140.8,8.0,False,148.8,0
57,CO,181.2,5.8,True,187.0,1
58,WI,129.8,12.1,False,141.9,0
59,OK,189.3,12.0,False,201.3,0
60,ID,166.6,11.4,False,178.0,0
61,CA,166.3,11.6,False,177.9,0
62,MN,138.0,14.6,False,152.6,0
63,SD,265.5,12.6,False,278.1,0
64,NC,159.0,8.2,False,167.2,0
65,WA,214.1,6.2,False,220.29999999999998,0
66,WY,157.8,9.3,False,167.10000000000002,0
67,MN,129.3,8.3,False,137.60000000000002,0
68,UT,153.5,7.8,False,161.3,0
69,TX,148.6,13.8,True,162.4,1
70,NJ,295.3,11.8,False,307.1,0
71,MN,254.6,12.1,False,266.7,0
72,NM,172.5,8.0,False,180.5,0
73,NV,152.4,7.3,False,159.70000000000002,0
74,HI,188.2,12.0,False,200.2,0
75,MN,181.4,6.1,False,187.5,0
76,DC,270.1,11.7,True,281.8,1
77,NY,173.0,8.2,True,181.2,1
78,MN,177.5,8.2,False,185.7,0
79,MD,228.6,15.0,False,243.6,0
80,WV,224.0,13.2,False,237.2,0
81,OR,278.5,12.6,False,291.1,0
82,CO,175.7,11.0,False,186.7,0
83,GA,222.7,9.8,False,232.5,0
84,TX,191.4,12.4,True,203.8,1
85,VT,323.0,8.6,False,331.6,0
86,IN,189.6,8.0,True,197.6,1
87,WV,182.4,12.0,False,194.4,0
88,KY,202.1,10.9,False,213.0,0
89,NJ,208.9,13.9,True,222.8,1
90,DC,109.6,11.1,False,120.69999999999999,0
91,LA,196.0,8.9,True,204.9,1
92,AR,253.2,7.9,False,261.09999999999997,0
